ObjectID,GlobalID,Target Species,Other Species,Comments,Approximate Area of Population,Evidence of Disturbance/Damage,If Other Factor Please Specify,Approximate Number of Individual Plants Present and Accessible,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit,Estimated Number of Fruits per Stem,Estimated Number of Stems per Individual Plant,Viability Calculation Result,Estimate the Number of Individual Plants at Natural Dispersal Stage,Are You Collecting Seeds on This Trip?,Primary Key,General Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
201,749efa46-9759-45df-8111-997ca363d618,SCSC,,,0.5,No_Damage,,300,100,0,0,0,0,Immature,,2,0,20,0,<50,no,20240614_42.6435738-103.09347165,,dcebda7b-6b83-4548-b0a6-898be553abac,########,cnhp_guest4,########,cnhp_guest4
202,ff80b1de-ae59-4e8d-9cc8-727a17fb6ab4,None,,Inacessible,0,No_Damage,,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240614_42.643339-103.0906865,,8fc3c03a-54ef-4fc4-99d3-955e09ae6974,########,cnhp_guest4,########,cnhp_guest4
203,e88d7b5a-8c82-4d46-bf38-3475d3db4e6b,HEVI4,,,1,No_Damage,,200,100,0,0,0,0,Immature,,1,37,21,31080,<50,no,20240615_42.64643005-103.04266911,,8f1ca707-9403-4794-93e3-6534db6ca98c,########,cnhp_guest4,########,cnhp_guest4
204,eec0bc6a-d795-425c-bc29-73288588bac5,POSE,,,0.5,No_Damage,,75,10,15,75,10,0,Immature,,3,75,5,16875,<50,no,20240615_42.64643005-103.04266911,,8f1ca707-9403-4794-93e3-6534db6ca98c,########,cnhp_guest4,########,cnhp_guest4
205,0c254c94-ab19-4a1b-a9f4-791eabb6d5b0,SCSC,,,3,No_Damage,,450,100,0,0,0,0,Immature,,2,0,25,0,<50,no,20240615_42.67756316-103.09110225,,aae9ab3e-dc66-4eb0-823a-576dfc92a809,########,cnhp_guest4,########,cnhp_guest4
206,af450c13-ae0d-477e-8c28-c0bd945c74b7,BOGR2,,,2.5,No_Damage,,300,100,54,0,0,0,Immature,,1,54,5,16200,<50,no,20240615_42.67756316-103.09110225,,aae9ab3e-dc66-4eb0-823a-576dfc92a809,########,cnhp_guest4,########,cnhp_guest4
207,f2c28a69-213b-44a7-a667-2a4b3f6464e9,KOMA,,,2.5,No_Damage,,75,30,20,50,0,0,Immature,,2,30,5,4500,<50,no,20240615_42.67756316-103.09110225,,aae9ab3e-dc66-4eb0-823a-576dfc92a809,########,cnhp_guest4,########,cnhp_guest4
208,7b3a201f-41f4-4214-8267-68a05cbd7c05,POSE,,,2.5,No_Damage,,30,0,0,20,70,10,Healthy,,3,75,5,6750,<50,no,20240615_42.67756316-103.09110225,,aae9ab3e-dc66-4eb0-823a-576dfc92a809,########,cnhp_guest4,########,cnhp_guest4
209,71a060cd-0799-48fb-bad0-cdf60c302596,NAVI4,,,10,No_Damage,,100000,10,10,60,15,5,Immature,,1,91,4,7280000,>50,yes,20240615_43.6467189-102.95766286,"Lots of insects, minimal damageon seeds. Separate population across river.",9508c737-c297-4eb7-bfd3-b7b69335cfc7,########,cnhp_guest4,########,cnhp_guest4
210,38e46b7c-8946-468c-b6c2-71962ff10c36,PASM,,,10,Insect_damage,,250000,85,10,5,0,0,Immature,,7,8,12,33600000,<50,no,20240615_43.6467189-102.95766286,,9508c737-c297-4eb7-bfd3-b7b69335cfc7,########,cnhp_guest4,########,cnhp_guest4
211,751dcf56-c602-4fbd-b324-8f48790666da,BOGR2,,,5,No_Damage,,2500,100,0,0,0,0,Immature,,1,54,5,135000,<50,no,20240615_43.6467189-102.95766286,,9508c737-c297-4eb7-bfd3-b7b69335cfc7,########,cnhp_guest4,########,cnhp_guest4
212,1dff4a73-d8b7-4a80-87dc-1aaed64a519e,None,,"Invaded grassland, high non native richness",0,No_Damage,,0,0,0,0,0,0,Malformed/Other,,0,0,0,0,<50,no,20240616_43.67779129-102.94818332,,cde3c79f-e384-4e3d-a975-077d13ca9065,########,cnhp_guest4,########,cnhp_guest4
213,fe1a41a7-369b-41af-a044-2df819faf3ae,NAVI4,,,3.5,No_Damage,,2000,15,10,50,20,5,Immature,,1,91,4,145600,>50,no,20240616_43.69555283-102.87640546,,ccaa5861-3755-44ec-80f0-f9e857a4a1fe,########,cnhp_guest4,########,cnhp_guest4
214,21ef252d-5f8d-4248-a8c8-bdc835b3c48f,PASM,,,5,No_Damage,,5000,80,0,20,0,0,Immature,,7,8,12,672000,<50,no,20240616_43.69555283-102.87640546,,ccaa5861-3755-44ec-80f0-f9e857a4a1fe,########,cnhp_guest4,########,cnhp_guest4
215,c71edb19-fab0-423c-a715-0762bb3b4baa,HEVI4,,,1,No_Damage,,80,100,0,0,0,0,Immature,,1,37,21,12432,<50,no,20240616_43.69555283-102.87640546,,ccaa5861-3755-44ec-80f0-f9e857a4a1fe,########,cnhp_guest4,########,cnhp_guest4
216,41ad5d16-25d3-4027-8beb-acc05b025ffc,NAVI4,,,1,No_Damage,,150,15,10,55,15,5,Immature,,1,91,4,10920,>50,yes,20240617_43.69925615-102.89019192,,afd70d5a-c294-4587-9e5e-da5a27a47eee,########,cnhp_guest4,########,cnhp_guest4
217,fb46646a-b01a-4e64-b113-1229b43396a2,PASM,,,3,No_Damage,,500,85,10,5,0,0,Immature,,7,8,12,67200,<50,no,20240617_43.69925615-102.89019192,,afd70d5a-c294-4587-9e5e-da5a27a47eee,########,cnhp_guest4,########,cnhp_guest4
218,f46ae9be-0c3f-4b80-96a9-5aaac9129771,NAVI4,,,2,No_Damage,,200,5,0,20,55,20,Healthy,,1,91,2,7280,>50,yes,20240628_44.14183006-104.50497966,,14ada1db-9a3f-4e59-8ddc-1cb305344b5d,########,cnhp_guest4,########,cnhp_guest4
219,ad20a915-a36e-4b95-9545-40ac321686d3,KOMA,,,3,No_Damage,,1000,5,5,50,30,10,Empty,,2,30,4,48000,>50,yes,20240628_44.14183006-104.50497966,,14ada1db-9a3f-4e59-8ddc-1cb305344b5d,########,cnhp_guest4,########,cnhp_guest4
220,1b4a2dec-f782-4cba-a389-543450e32c00,None,,"Noted CHAN9 observation point from SEInet, unable to locate species",0,No_Damage,,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240628_44.08192408-104.50236632,,3d093c08-5617-4a43-b180-62ee2be413fe,########,cnhp_guest4,########,cnhp_guest4
221,ffad0283-fa10-487c-8490-ae93a731ba0f,KOMA,,,5,No_Damage,,2500,0,0,10,90,0,Healthy,,2,30,8,240000,>50,yes,20240628_44.04797481-104.48998794,,1f6a9804-fc74-4268-b322-85fa9acc6590,########,cnhp_guest4,########,cnhp_guest4
222,15cbffca-5a93-4d1f-b79d-24843c3c1768,ELTR7,,,5,Grazed_Domestic,,500,0,5,5,85,5,Healthy,,4,11,3,13200,>50,yes,20240628_44.04797481-104.48998794,,1f6a9804-fc74-4268-b322-85fa9acc6590,########,cnhp_guest4,########,cnhp_guest4
223,311f328d-0d57-4d57-9757-3d978bf16496,POSE,,,5,Grazed_Domestic,,500,0,0,5,90,5,Healthy,,2,25,5,25000,>50,yes,20240628_44.04797481-104.48998794,,1f6a9804-fc74-4268-b322-85fa9acc6590,########,cnhp_guest4,########,cnhp_guest4
224,f5c09566-1161-4a20-860c-328fac5a3509,NAVI4,,,8,No_Damage,,2000,5,5,10,80,0,Healthy,,1,91,4,8736,>50,yes,20240627_43.68670875-105.05107441,,b0224d11-9cde-4da8-ab25-0158363c816d,########,ac15_CSUesri,########,ac15_CSUesri
225,5c3c3f15-bee4-4c0f-a2c8-0bf795adcb73,RACO3,,,2,No_Damage,,50,40,50,10,0,0,Immature,,1,300,0,0,<50,no,20240627_43.68670875-105.05107441,,b0224d11-9cde-4da8-ab25-0158363c816d,########,ac15_CSUesri,########,ac15_CSUesri
226,750a5530-1dac-49fc-b0bb-2c6d3e4bd1e7,NAVI4,,,2,No_Damage,,350,0,0,5,85,10,Healthy,,1,91,4,25480,>50,no,20240629_44.6963371-105.27415044,,beb901c1-31ce-4a3e-b505-2f2b424fa022,########,ac15_CSUesri,########,ac15_CSUesri
227,27c8e81d-8621-4cb6-afb5-f96b52db67ec,PSSP6,,,3,No_Damage,,500,0,0,70,30,0,Healthy,,5,8,7,28000,>50,no,20240629_44.6963371-105.27415044,PASM but not ready to collect,beb901c1-31ce-4a3e-b505-2f2b424fa022,########,ac15_CSUesri,########,ac15_CSUesri
228,95473386-76b6-4350-9eaa-8336e0c38cc2,PSSP6,,,5,No_Damage,,500,0,0,70,30,0,Healthy,,5,8,7,28000,>50,no,20240629_44.70238703-105.27834485,,15ffff59-e082-4c14-968c-7fa5be1d0cb1,########,ac15_CSUesri,########,ac15_CSUesri
229,c6bdefc5-ac3a-4a60-9d1b-0b5a9e4e1e2f,BOGR2,,,1,No_Damage,,600,100,0,0,0,0,Immature,,1,54,4,,<50,no,20240629_44.70238703-105.27834485,,15ffff59-e082-4c14-968c-7fa5be1d0cb1,########,ac15_CSUesri,########,ac15_CSUesri
230,173be577-a8ec-42ab-a3f8-5f615abffc2b,POSE,,,5,No_Damage,,350,0,0,50,50,0,Healthy,,2,45,5,,>50,no,20240629_44.70238703-105.27834485,,15ffff59-e082-4c14-968c-7fa5be1d0cb1,########,ac15_CSUesri,########,ac15_CSUesri
231,9f73631a-00cc-4a74-89bc-e3daa71a20d4,NAVI4,,,4,No_Damage,,350,0,0,10,80,10,Healthy,,1,91,4,,>50,no,20240629_44.70238703-105.27834485,,15ffff59-e082-4c14-968c-7fa5be1d0cb1,########,ac15_CSUesri,########,ac15_CSUesri
232,ff6c2dc5-fac5-4d99-ad92-6f1fb7a45962,KOMA,,,3,No_Damage,,500,0,0,15,85,0,Healthy,,2,30,5,,>50,no,20240629_44.70238703-105.27834485,,15ffff59-e082-4c14-968c-7fa5be1d0cb1,########,ac15_CSUesri,########,ac15_CSUesri
233,1f73f486-4e95-4a27-b498-afdbf820da4d,ELTR7,,,2,No_Damage,,150,0,0,70,30,0,Immature,,4,11,5,6600,<50,no,20240629_44.70238703-105.27834485,,15ffff59-e082-4c14-968c-7fa5be1d0cb1,########,ac15_CSUesri,########,ac15_CSUesri
234,9f28739e-4120-4b5b-b902-02ae4da55d4d,KOMA,,,3,"Seeded,Grazed_Domestic",,3000,5,5,75,5,0,Immature,,2,30,5,180000,<50,no,20240625_43.54980815-105.10382961,Less than 50 sp. of Dalea purpurea 500 ft northwest on rocky outcropping.,6dfa7f45-2dcf-4aee-84fc-032165670c10,########,cnhp_guest4,########,cnhp_guest4
235,3d7eab5a-2170-4a79-a8e5-53d43a4a25c9,HEVI4,,,0.25,Grazed_Domestic,,125,75,25,10,0,0,Immature,,1,37,21,19425,<50,no,20240625_43.54980815-105.10382961,,6dfa7f45-2dcf-4aee-84fc-032165670c10,########,cnhp_guest4,########,cnhp_guest4
236,bce9de35-f4b4-42b3-a604-475a4838ae61,KOMA,,,7,No_Damage,,7000,5,5,50,40,0,Healthy,,2,30,5,420000,>50,yes,20240626_43.27977364-105.01072236,,3ba458b7-081b-4ae8-ab99-ac77bc7770ae,########,cnhp_guest4,########,cnhp_guest4
237,24f2ac59-8422-48c6-bf57-d0d84fa92d6f,NAVI4,,,3,No_Damage,,2500,5,5,45,45,0,Healthy,,1,91,3,,>50,yes,20240626_43.27977364-105.01072236,,3ba458b7-081b-4ae8-ab99-ac77bc7770ae,########,cnhp_guest4,########,cnhp_guest4
238,f0aa3509-a0f2-48b8-a3d6-b611b6a5282e,POSE,,,4,No_Damage,,1000,0,0,10,70,20,Healthy,,2,42,2,33600,>50,yes,20240626_43.27977364-105.01072236,,3ba458b7-081b-4ae8-ab99-ac77bc7770ae,########,cnhp_guest4,########,cnhp_guest4
239,b3d8bcbe-a94c-4e8c-91c4-cd8d4f4c602d,PSSP6,,,3,No_Damage,,1000,5,5,80,10,0,Immature,,5,8,3,24000,<50,no,20240626_43.27977364-105.01072236,,3ba458b7-081b-4ae8-ab99-ac77bc7770ae,########,cnhp_guest4,########,cnhp_guest4
240,b21cd84c-30da-49ee-af71-c69632702438,THRH,,,3,No_Damage,,300,0,0,5,5,90,Healthy,,7,5,7,,<50,no,20240626_43.27977364-105.01072236,,3ba458b7-081b-4ae8-ab99-ac77bc7770ae,########,cnhp_guest4,########,cnhp_guest4
241,2fc7ce98-5993-416b-a347-85fd810f6280,BOGR2,,,7,No_Damage,,4000,100,0,0,0,0,Immature,,1,54,3,,<50,no,20240626_43.27977364-105.01072236,,3ba458b7-081b-4ae8-ab99-ac77bc7770ae,########,cnhp_guest4,########,cnhp_guest4
242,9821eaee-37f4-488e-91c5-8b7600cff92f,PASM,,,4,No_Damage,,700,35,50,15,0,0,Immature,,7,8,7,54880,<50,no,20240626_43.27977364-105.01072236,,3ba458b7-081b-4ae8-ab99-ac77bc7770ae,########,cnhp_guest4,########,cnhp_guest4
243,07a73a0f-fa8d-41cd-91ab-f0d7e5a5f98b,KOMA,,,5,No_Damage,,5000,5,5,30,50,10,Healthy,,2,30,5,300000,>50,yes,20240626_43.23872564-105.07138808,,69692894-c48c-4665-9d82-3157bf98c2c5,########,cnhp_guest4,########,cnhp_guest4
244,f32c5bc3-d5f7-4a9b-89ba-9ea24983af0b,NAVI4,,,1.5,No_Damage,,200,5,0,30,45,20,Healthy,,1,91,4,14560,>50,yes,20240626_43.23872564-105.07138808,,69692894-c48c-4665-9d82-3157bf98c2c5,########,cnhp_guest4,########,cnhp_guest4
245,11a31a72-23ba-46e6-9d91-a9f3c45c00dd,POSE,,,2,No_Damage,,500,5,10,45,30,10,Healthy,,2,42,3,25200,>50,yes,20240626_43.23872564-105.07138808,,69692894-c48c-4665-9d82-3157bf98c2c5,########,cnhp_guest4,########,cnhp_guest4
246,60e7162e-b0ca-4971-adee-3107b69ed271,BOGR2,,,5,No_Damage,,10000,85,0,15,0,0,Immature,,1,54,5,540000,<50,no,20240626_43.23872564-105.07138808,,69692894-c48c-4665-9d82-3157bf98c2c5,########,cnhp_guest4,########,cnhp_guest4
247,d21786d5-2a1a-440f-8d19-2f0bfb875262,PASM,,,5,No_Damage,,3000,90,0,10,0,0,Immature,,7,8,12,403200,<50,no,20240626_43.23872564-105.07138808,,69692894-c48c-4665-9d82-3157bf98c2c5,########,cnhp_guest4,########,cnhp_guest4
248,7c7fafdc-4e1d-440c-a821-33d4fca7cd54,THRH,,,2,Other,Rust on leaves,300,0,0,10,5,85,Empty,,7,5,7,14700,<50,no,20240626_43.23872564-105.07138808,,69692894-c48c-4665-9d82-3157bf98c2c5,########,cnhp_guest4,########,cnhp_guest4
249,82874690-9a63-46f2-9ce0-a3b5c666ddf0,None,,,5,Grazed_Domestic,,0,0,0,0,0,0,Malformed/Other,Chronically overgrazed area,0,0,0,0,<50,no,20240627_43.76323704-105.13267486,"Chronically overgrazed.Low diversity, high abundance of introduced spp.",5b7f559a-6fcf-4740-b714-3e621348a19e,########,cnhp_guest4,########,cnhp_guest4
250,49fb5029-a534-4071-a413-b702919b2c9e,None,,,0,No_Damage,,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240627_43.81291786-104.63174489,,b3f28c81-20f1-47c6-9cd6-1ae224b0e5a2,########,cnhp_guest4,########,cnhp_guest4
251,117aa6ab-8ebc-4cae-8b6a-ec904dd4b687,KOMA,,,7,Grazed_Domestic,,3000,5,5,40,50,0,Healthy,,2,30,7,252000,>50,yes,20240627_43.82572603-104.64023223,,e1761dde-8a9b-465c-bb58-fe3d8870fa1a,########,cnhp_guest4,########,cnhp_guest4
252,b4ed9a43-10e9-4384-b70b-15285fbc1d1d,NAVI4,,,4,No_Damage,,200,5,5,50,40,0,Healthy,,1,91,4,5096,>50,yes,20240627_43.82572603-104.64023223,,e1761dde-8a9b-465c-bb58-fe3d8870fa1a,########,cnhp_guest4,########,cnhp_guest4
253,3c231bbf-1aba-4e30-a731-71c18f9e6d91,POSE,,,5,No_Damage,,200,0,5,20,70,5,Healthy,,0,0,0,0,>50,no,20240628_44.14531102-104.49109048,Population too dispersed for collection at time of visit.,44031259-892e-47ea-90c9-ef7cf5c4d81a,########,cnhp_guest4,########,cnhp_guest4
254,75d8e458-86da-485c-b6d0-b6f7ed0062a7,KOMA,,,5,No_Damage,,300,5,50,30,15,0,Immature,,2,30,0,0,<50,no,20240628_44.14531102-104.49109048,,44031259-892e-47ea-90c9-ef7cf5c4d81a,########,cnhp_guest4,########,cnhp_guest4
255,ea208834-69f2-4411-aab7-c25624121afd,THRH,,,5,No_Damage,,300,0,0,85,10,5,Immature,,7,5,0,0,<50,no,20240628_44.14531102-104.49109048,,44031259-892e-47ea-90c9-ef7cf5c4d81a,########,cnhp_guest4,########,cnhp_guest4
256,9581b391-745a-4318-8e6f-29fe2ad7dbc4,SCSC,,,5,No_Damage,,100,100,0,0,0,0,Immature,,2,0,0,0,<50,no,20240628_44.14531102-104.49109048,,44031259-892e-47ea-90c9-ef7cf5c4d81a,########,cnhp_guest4,########,cnhp_guest4
257,a6bec5f2-d021-4f74-9cdb-8d8c8411c098,NAVI4,,,0.5,No_Damage,,20,5,5,30,40,10,Healthy,,1,91,0,0,<50,no,20240628_44.14531102-104.49109048,,44031259-892e-47ea-90c9-ef7cf5c4d81a,########,cnhp_guest4,########,cnhp_guest4
258,9a3097bd-5e74-48b0-a45c-f947b6cc0924,NAVI4,,,2,No_Damage,,75,0,0,10,70,20,Healthy,,1,91,2,2730,>50,no,20240629_44.70224964-105.29938319,,f66e52f6-dd50-432b-8c9e-3c1d5965c8da,########,cnhp_guest4,########,cnhp_guest4
259,95759a58-b7eb-4b72-962b-f4ec60a2448b,RACO3,,,5,No_Damage,,150,20,70,10,0,0,Healthy,,1,300,0,0,<50,no,20240629_44.70224964-105.29938319,"PASM and BOGR2 present in abundance, all in vegetative.",f66e52f6-dd50-432b-8c9e-3c1d5965c8da,########,cnhp_guest4,########,cnhp_guest4
260,0644a0bd-2a43-4b5b-8280-aa5e86be9944,POSE,,,5,No_Damage,,1500,10,0,10,60,20,Healthy,,2,42,5,75600,>50,yes,20240629_44.70134246-105.28682648,,012b60e9-c3ae-4bd9-926f-f0801afa9d5d,########,cnhp_guest4,########,cnhp_guest4
261,89506c84-7516-47bd-8571-a0c8e4caf055,KOMA,,,6,No_Damage,,2500,5,0,30,55,10,Healthy,,2,30,5,18000,>50,yes,20240629_44.70134246-105.28682648,,012b60e9-c3ae-4bd9-926f-f0801afa9d5d,########,cnhp_guest4,########,cnhp_guest4
262,83354f34-a88d-4340-b61f-2bc6a7473f33,PSSP6,,,5,No_Damage,,2000,10,0,30,55,5,Healthy,,5,8,5,60000,>50,yes,20240629_44.70134246-105.28682648,,012b60e9-c3ae-4bd9-926f-f0801afa9d5d,########,cnhp_guest4,########,cnhp_guest4
263,fd400b24-f566-438d-8e9d-f4b785c9a359,NAVI4,,,2,No_Damage,,600,0,0,10,65,25,Healthy,,1,91,2,9100,>50,yes,20240629_44.70134246-105.28682648,,012b60e9-c3ae-4bd9-926f-f0801afa9d5d,########,cnhp_guest4,########,cnhp_guest4
264,5acdc85e-5228-4159-bfd7-66e2ac74cd67,None,,,0,"Grazed_Domestic,Other",Fungal pathogen,0,0,0,0,0,0,Empty,,0,0,0,0,<50,no,20240630_43.67179014-104.83037208,,3f53f224-0dfd-4f29-ad91-547ff62d228d,########,cnhp_guest4,########,cnhp_guest4
265,109861df-e530-49fe-9fd9-b48d818e3044,KOMA,,,5,No_Damage,,5000,0,0,10,80,10,Healthy,,2,30,5,300000,>50,no,20240630_43.93550314-104.6509689,,5a7fccfd-c7ba-4498-badd-a7ecc7a37323,########,cnhp_guest4,########,cnhp_guest4
266,f1f88d41-2ccb-4dcc-88c5-bd4c6e63c16a,HEVI4,,,1,No_Damage,,75,100,0,0,0,0,Immature,,1,37,21,11655,<50,no,20240630_43.93550314-104.6509689,,5a7fccfd-c7ba-4498-badd-a7ecc7a37323,########,cnhp_guest4,########,cnhp_guest4
267,70dd4b41-ed11-461b-883a-570da1e58cfe,NAVI4,,,1,No_Damage,,50,0,0,25,50,25,Healthy,,1,91,0,0,>50,no,20240630_43.93550314-104.6509689,,5a7fccfd-c7ba-4498-badd-a7ecc7a37323,########,cnhp_guest4,########,cnhp_guest4
268,61530677-2ab7-4546-85da-fb5e95f1da3b,POSE,,,3,No_Damage,,2500,0,0,15,75,10,Healthy,,0,0,0,0,>50,no,20240630_43.93550314-104.6509689,,5a7fccfd-c7ba-4498-badd-a7ecc7a37323,########,cnhp_guest4,########,cnhp_guest4
269,6d867f2e-82a9-48c1-bf12-98f922a2dfb6,None,,Near A. cristatum monoculture,10,Seeded,,0,0,0,0,0,0,Malformed/Other,None,0,0,0,0,<50,no,20240630_44.0760346-104.67101378,,07714eac-94f7-4e40-aa40-d36671270cd2,########,cnhp_guest4,########,cnhp_guest4
270,0124c15d-6999-4ffd-9248-af75bf65c1a3,KOMA,,,5,No_Damage,,5000,5,0,20,70,5,Healthy,,2,30,4,240000,>50,no,20240630_44.02487324-104.51272735,,4007e844-372a-4ae1-b0e0-c6b9ef71c9e8,########,cnhp_guest4,########,cnhp_guest4
271,1a78bf60-cdc6-4272-adaa-ab9ca56aa227,THRH,,,5,Other,Leaf rust,1000,20,0,75,5,0,Immature,,7,5,0,0,<50,no,20240630_44.02487324-104.51272735,,4007e844-372a-4ae1-b0e0-c6b9ef71c9e8,########,cnhp_guest4,########,cnhp_guest4
272,70e2cbd5-6a3e-4f6e-a9e1-77ddfe122f7b,POSE,,,5,No_Damage,,1000,5,5,30,50,10,Healthy,,2,45,2,36000,>50,no,20240630_44.02487324-104.51272735,,4007e844-372a-4ae1-b0e0-c6b9ef71c9e8,########,cnhp_guest4,########,cnhp_guest4
273,8edc5941-aae9-4085-9e0d-66b4ba9109d9,ELTR7,,,2,No_Damage,,250,15,5,70,10,0,Immature,,4,11,1,2200,>50,no,20240630_44.02487324-104.51272735,,4007e844-372a-4ae1-b0e0-c6b9ef71c9e8,########,cnhp_guest4,########,cnhp_guest4
274,64ddb1aa-7145-43b0-ab68-349065c5f530,NAVI4,,,4,No_Damage,,500,0,0,15,75,0,Healthy,,1,91,4,36400,>50,no,20240630_44.04659293-104.40562375,,4130e9c4-c022-4da9-80fb-b6213cb4859c,########,cnhp_guest4,########,cnhp_guest4
275,41e22cdd-c925-4c66-88d6-03dd3c71d993,KOMA,,,4,No_Damage,,1000,0,0,20,70,0,Healthy,,2,30,5,60000,>50,no,20240630_44.04659293-104.40562375,Good scouting point 4900ft south of this one.,4130e9c4-c022-4da9-80fb-b6213cb4859c,########,cnhp_guest4,########,cnhp_guest4
276,9f4863c8-7c93-4fdd-b068-c9e04fcdcb77,KOMA,,,5,"Grazed_Domestic,Other",Smut fungus,2000,0,0,50,50,0,Healthy,,2,30,5,30000,>50,yes,20240701_43.26929571-105.17188024,,e363402c-d957-4c6b-83fb-448891949459,########,cnhp_guest4,########,cnhp_guest4
277,ab567d15-5826-4ec8-b0c7-7ad80b284db1,NAVI4,,,4,"Grazed_Domestic,Other",Smut fungus,1700,0,0,60,40,0,Healthy,,1,91,4,,>50,yes,20240701_43.26929571-105.17188024,,e363402c-d957-4c6b-83fb-448891949459,########,cnhp_guest4,########,cnhp_guest4
278,efa18293-0d98-4394-b3e9-77a7fcd50513,POSE,,,4,"Grazed_Domestic,Other",Smut fungus,1600,0,0,40,60,0,Healthy,,2,40,4,16000,>50,yes,20240701_43.26929571-105.17188024,,e363402c-d957-4c6b-83fb-448891949459,########,cnhp_guest4,########,cnhp_guest4
279,221eb1bf-6319-40c3-abf2-ac6a98c0cfc0,Other,Thermopsis divaricarpa,,100,No_Damage,,1000,20,80,0,0,0,Immature,,0,0,6,0,<50,no,20240612_40.20776-105.52389,,f97435c6-6388-43cf-9757-a500a79ef4d3,########,cnhp_guest4,########,cnhp_guest4
280,f004ce0e-8c33-44d4-acc2-324bc099209b,POSE,,,3,No_Damage,,200,0,40,40,15,5,Immature,,2,45,4,14400,<50,no,20240709_42.25832949-105.48156052,,a401b842-0e9e-4d97-a323-1fdf1c0fcb4b,########,ac15_CSUesri,########,ac15_CSUesri
281,6ad10cc6-8af6-4d4a-8169-562c7154264e,ACNE9,,,20,No_Damage,,1000,0,5,10,85,0,Healthy,,1,40,2,,>50,yes,20240709_42.25832949-105.48156052,,a401b842-0e9e-4d97-a323-1fdf1c0fcb4b,########,ac15_CSUesri,########,ac15_CSUesri
282,fd678cc8-10f7-4f4b-949b-20c41f31e6b7,HEVI4,,,3,No_Damage,,350,50,50,0,0,0,Immature,,1,37,21,54390,<50,no,20240709_42.25832949-105.48156052,,a401b842-0e9e-4d97-a323-1fdf1c0fcb4b,########,ac15_CSUesri,########,ac15_CSUesri
283,291dc1f6-a776-4e3a-8af3-361d6981e023,KOMA,,,5,No_Damage,,250,0,70,30,0,0,Immature,,2,30,6,18000,<50,no,20240709_42.25832949-105.48156052,,a401b842-0e9e-4d97-a323-1fdf1c0fcb4b,########,ac15_CSUesri,########,ac15_CSUesri
284,bee3325d-fc2e-4dfb-9abd-2a6bd85d93dd,FEID,,,10,No_Damage,,1500,0,10,80,10,0,Immature,,5,15,24,540000,<50,no,20240711_41.23576357-105.42902578,,f15ced72-b199-41e2-b695-fc1b048ac31a,########,ac15_CSUesri,########,ac15_CSUesri
285,5f851b0a-69a7-45be-a247-2f5e558c5db5,PEST2,,,3,No_Damage,,100,0,90,10,0,0,Immature,,7,0,0,0,<50,no,20240711_41.23576357-105.42902578,,f15ced72-b199-41e2-b695-fc1b048ac31a,########,ac15_CSUesri,########,ac15_CSUesri
286,aa5f5c47-df19-465a-964a-b5231369f6d3,ERUM,,,10,No_Damage,,1000,15,80,5,0,0,Immature,,0,0,0,0,<50,no,20240711_41.23576357-105.42902578,,f15ced72-b199-41e2-b695-fc1b048ac31a,########,ac15_CSUesri,########,ac15_CSUesri
287,e2c428e0-d49e-47aa-995d-405413440dac,ACNE9,,,7,No_Damage,,400,0,10,30,60,0,Immature,,1,40,2,6400,>50,no,20240711_41.23576357-105.42902578,,f15ced72-b199-41e2-b695-fc1b048ac31a,########,ac15_CSUesri,########,ac15_CSUesri
288,5d4ac897-3667-4ef1-98e6-517ba1d9d3a1,Other,Thermopsis divaricarpa,,20,No_Damage,,400,0,0,50,50,0,Healthy,,6,5,5,12000,>50,yes,20240711_41.1774695-105.32216088,,21ffd6f5-8da4-42c5-a123-974cc0b1d18f,########,ac15_CSUesri,########,ac15_CSUesri
289,d4f9f6d8-1d19-42d8-af9a-b8c4eec25f14,POSE,,,10,No_Damage,,2000,0,0,30,50,20,Healthy,,2,42,4,134400,>50,yes,20240711_41.1774695-105.32216088,,21ffd6f5-8da4-42c5-a123-974cc0b1d18f,########,ac15_CSUesri,########,ac15_CSUesri
290,6b5bab36-dea2-4fd5-9e32-e6040c422bc6,Other,Thermopsis divaricarpa,,10,No_Damage,,400,0,0,50,50,0,Healthy,,5,7,5,14000,>50,yes,20240711_41.19973466-105.36023274,,4d1bd7e3-3543-4832-80b2-1562a965e0ee,########,ac15_CSUesri,########,ac15_CSUesri
291,febf0566-6d82-41e2-8626-faff94be19ce,Other,Thermopsis divaricarpa,,15,No_Damage,,400,0,0,50,50,0,Healthy,,5,7,5,12250,>50,yes,20240713_41.21564973-105.41350698,,b5f20c4d-fe46-47b8-8e73-ec591a36b3ae,########,ac15_CSUesri,########,ac15_CSUesri
292,f1a1456c-c8b4-493f-bb93-5b863b57ca80,ACNE9,,,10,No_Damage,,750,0,5,30,55,10,Healthy,,1,90,2,27000,>50,yes,20240713_41.20500713-105.3896027,,3c9a8deb-6a24-46ae-8161-deedfdb4f72d,########,ac15_CSUesri,########,ac15_CSUesri
