Species,ObjectID,GlobalID,Species,Other Species,Comments,Approximate Area of Population,Approximate Number of Individual Plants Present and Accessible,Evidence of Disturbance/Damage,If Other Factor Please Specify,Notes,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit:,Estimated Number of Fruits per Individual Plant,Viability Calculation Result,Are There at Least 50 Plants with Mature Seed in This Population?,Seeds_Collected,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Associated Species
PSSP6,80,981a2e80-e4e1-48a4-911d-b501d68a42dd,PSSP6,,,5,1000,No_Damage,,,10,0,0,10,80,Healthy,,,,,no,no,,49a4106e-7e78-4946-a8d9-ae4ed02e9d04,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,
PSSP6,81,e0ec96b8-68eb-40e2-b8f9-6fb958a0b053,PSSP6,,,5,100000,Insect_damage,,,10,0,20,40,30,Healthy,,2,7,56000,yes,yes,,bc8fe7b2-09c5-4016-9fcd-8e785633011c,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,
KOMA,82,f30df060-2cb9-4185-8b6a-a26067dc4e81,KOMA,,,5,10000,Insect_damage,,,10,0,0,5,85,Healthy,,,,,no,no,,bc8fe7b2-09c5-4016-9fcd-8e785633011c,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,
PASM,83,ccc8350f-d008-44e8-a05b-6a9250d14246,PASM,,,2,2000,Insect_damage,,,25,0,0,10,65,Healthy,,,,,no,no,,f50e47e2-c139-489b-8a6c-abd337b5e432,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,
FEID,84,9bbe6baf-4dbf-40b1-b31c-a0ddf0df4141,FEID,,,3,8000,Insect_damage,,,20,0,0,5,75,Healthy,,,,,no,no,,f50e47e2-c139-489b-8a6c-abd337b5e432,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,
BOGR2,85,15fc75c7-706d-4e12-9a18-14cb033cff63,BOGR2,,,40,1000000,Grazed_Domestic,,,10,0,5,40,45,Healthy,,20,3,12000000,yes,yes,,359b3315-d44c-42ce-94bc-60552aea1ae2,8/15/2023 19:13,ac15_CSUesri,8/15/2023 19:13,ac15_CSUesri,
HEVI4,86,b05931f8-efd3-481f-888c-4af19434a177,HEVI4,,,3,100,No_Damage,,,10,25,30,25,10,Healthy,,,,,no,no,Majority of pop. is along roadside. Might be more dispersed in future years,359b3315-d44c-42ce-94bc-60552aea1ae2,8/15/2023 19:13,ac15_CSUesri,8/15/2023 19:13,ac15_CSUesri,
PASM,87,a529fddc-eb2d-42c9-83b0-d3bdcd283215,PASM,,,10,1000,Grazed_Domestic,,,10,0,70,25,5,Immature,,,,,no,no,,359b3315-d44c-42ce-94bc-60552aea1ae2,8/15/2023 19:13,ac15_CSUesri,8/15/2023 19:13,ac15_CSUesri,
KOMA,88,5e856da9-223a-4908-8dde-0bbade6bbe48,KOMA,,,5,2500,No_Damage,,,5,0,10,35,60,Healthy,,7,20,28000,yes,yes,,f1756bd2-329b-421b-af60-1d97ffd0347b,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
HEVI4,89,729f3818-5467-4964-b2c2-558431d0c4d3,HEVI4,,,1,500,No_Damage,,,20,70,10,0,0,Immature,,,,,no,no,,f1756bd2-329b-421b-af60-1d97ffd0347b,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
PSSP6,90,f0037e5c-91cc-40ef-b2e1-d81a22d8364c,PSSP6,,,2,350,Timber_Harvest,,,20,5,70,5,0,Immature,,,,,no,no,,f1756bd2-329b-421b-af60-1d97ffd0347b,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
PASM,91,1bc88ccd-6303-4d32-9f32-37d38ca1dfaa,PASM,,,0.5,500,No_Damage,,,15,0,80,5,0,Immature,,,,,no,no,,d66ee9b0-a7cd-43b7-9e4e-12898297d9d9,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
THRH,92,afa1777c-ea42-407d-85c5-ddf35735d1f7,THRH,Thermopsis rhombifolia,,0.25,1000,Timber_Harvest,,,5,0,30,30,35,Healthy,,10,5,10000,yes,yes,"Unsure if rhombifolia or other thermopsis. Some hetrrotheca villosa intermixed, flowering as of 08/16/2023",ee556790-5d0a-4c41-892d-11279653c7f3,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
KOMA,93,c24ee3d2-347b-403a-8c18-67babfb2116f,KOMA,,,6,500,Timber_Harvest,,Minimal old timber harvest,5,0,40,40,5,Healthy,,7,20,28000,yes,yes,,045111e2-ee1a-4987-b09c-2be9d826a045,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
PSSP6,94,07ad05c0-b268-46f1-9fc7-2e596a95ec2e,PSSP6,,,12,250,No_Damage,,,10,0,40,45,5,Healthy,,,,,yes,no,,045111e2-ee1a-4987-b09c-2be9d826a045,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
PEVI3,95,1a1357fe-100d-47c2-8df6-41740850de45,PEVI3,Penstemon virens,,4,2500,Timber_Harvest,,light historical logging,10,0,50,35,5,Healthy,,25,20,50000,yes,yes,,1a571c62-c0b3-40ee-9fac-5aa95a4037fc,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,
PSSP6,96,ecd36c79-8bc3-43c0-a59e-ddb3cf302a23,PSSP6,,,3,3000,Other,"Smut on some plants, possibly black finger of death fungus",,5,0,25,60,10,Healthy,,3,9,16200,yes,yes,,65bf0604-bab6-43ab-9649-01dfe4754d8a,8/17/2023 22:31,ac15_CSUesri,8/17/2023 22:31,ac15_CSUesri,
None,97,7b881b4c-0a9f-4a37-b118-54304616f4b0,None,,SEINET collection of F idahoensis directly off roadside now shows evidence of disturbance & possible reseeding,,0,Seeded,,,0,0,0,0,0,Malformed/Other,No spp to collect,,,,no,no,,8b6c5082-0f6f-4045-981a-fadc42b0dc88,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
None,98,1825c41b-4b1e-4862-b2c3-216bc43847b6,None,,"No Elymus trachycaulus found off side of road, in forested South-facing slope or around wet meadow where forested area ends near switchback",,0,Grazed_Domestic,,,0,0,0,0,0,Malformed/Other,No plant spp present,,,,no,no,,e8ef4fb0-b194-4b8f-afef-4ed76e432d0d,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
FEID,99,a4c64715-a46e-4aec-91a2-d8122134e9d9,FEID,,,,100000,Grazed_Domestic,,,5,0,15,50,30,Healthy,,5,10,1000000,yes,no,,8b8583db-3f8d-4b46-98e3-4253e124a204,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"Artemesia tridentata, Picea pungens, Ericameria spp, Potentilla spp (pulcherrima), Achillea millefolium, Taraxacum officinale"
None,100,010afe00-0caf-440f-bc65-49d520222290,None,,"SEINET Bouteloua gracilis collection not present along road, across landscape on varying slopes and aspects",,0,"Grazed_Wildlife,Grazed_Domestic",,,0,0,0,0,800,Malformed/Other,Not present,,,,no,no,,ae062b1d-031d-42f3-acee-07f3d9516866,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
FEID,101,69ac342a-876d-444d-a15e-7388e9ed7666,FEID,,,3,3000,Grazed_Domestic,,,10,0,5,25,60,Healthy,,1,40,12000,no,no,,647dfcd3-aea3-4db0-8b56-6d2290794305,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"Artemesia tridentata, Ericameria spp, Festuca idahoensis, Antennaria spp, Lupinus spp, Potentilla spp (pulcherrima?)"
KOMA,102,2ce2f7fb-d658-453a-82b5-8c2e379c7954,KOMA,,,3,1000,Grazed_Domestic,,,15,0,0,5,80,Healthy,,1,20,4000,no,no,,647dfcd3-aea3-4db0-8b56-6d2290794305,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
DECE,103,20ce12c0-b5a1-4c04-9b1b-da3bf2100696,DECE,,,1,350,Grazed_Domestic,,,20,30,40,10,0,Immature,,,,,no,no,,3d630eec-0eef-4a7f-acf9-7cc22ac60130,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
THRH,104,8b14bcb1-ea74-4ece-99ee-3a36c4f238be,THRH,Thermopsis spp.,,0.5,50,Grazed_Domestic,,,10,5,60,20,5,Immature,,,,,no,no,Roadside botanizing,78767910-c1a7-432a-a680-d7ffd404ad7f,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
FEID,105,b5072b8c-8e10-48b6-bc4b-da0a580c224a,FEID,,,10,100000,Grazed_Domestic,,,5,0,10,25,60,Malformed/Other,Shattered,,,,yes,no,,fe9b819f-bf96-4ba7-9775-008a2897822e,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,Koeleria macrantha
None,106,d618d535-d7e2-481f-bc4f-66b0a38b2168,None,,"Boutelua gracilis SEInet point, no individuals observed.",,0,No_Damage,,,0,0,0,0,0,Malformed/Other,,,,,no,no,,e6552f76-9118-488f-b1b7-789818b0420a,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
None,107,601f6a01-a8ff-4ded-ac9f-9f39dbeb022a,None,,SEInet elymus trachycaulus n9 individuals present,,0,Grazed_Domestic,,,0,0,0,0,0,Malformed/Other,,,,,no,no,,f19acdd0-1f2d-4ef8-934c-66f6726489d1,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
PASM,108,a5f5078a-3232-4cde-9129-5864352af291,PASM,,,,0,Grazed_Domestic,,,0,0,0,0,0,Malformed/Other,No plant present,,,,no,no,,4c77aa0b-3c66-4dac-bce8-b7cca0641cd2,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
NAVI4,109,81bf5477-3cf6-4933-a909-c6ad0b98a76f,NAVI4,,,0.5,250,Grazed_Domestic,,,5,0,15,35,45,Healthy,,,,,yes,no,,47392974-c4b3-4378-a98f-ce4d8ffef58d,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"ELGL, ELTR7."
HEVI4,110,835ccd30-0db6-484b-8b76-4c6f70f8f8e4,HEVI4,,,3,2500,No_Damage,,,15,25,25,10,25,Immature,,,,,no,no,,46c32fcb-c714-4bdc-94c1-ac8d33382766,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"Elymus spp., heliomaris multiflora, achellia milifolium, possible NAVI4, possible ELTR7"
ELTR7,111,35c67794-e0e8-4f27-9495-e09248dc2d34,ELTR7,,,1,50,No_Damage,,,15,5,60,20,0,Immature,,,,,no,no,Good camping site,650a6432-aa15-4926-b186-15e5d5ff4aa8,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
KOMA,112,5d00c9d4-dbc7-4fc5-ac89-9f66ffa0763f,KOMA,,,2,2000,Grazed_Domestic,,,10,0,20,30,40,Healthy,,1,30,12000,yes,yes,,8f6585ce-5ec7-456b-855e-cdf799c155f1,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"Wyethia spp, Artemisia tridentata, Nasella viridula, Elymus trachycaulus, Erioganum umballatum"
NAVI4,113,f50734c4-fb08-4f82-8331-7599765bf478,NAVI4,,,2,3000,Grazed_Domestic,,,10,0,10,35,45,Healthy,,4,14,33600,yes,yes,,c6740596-b99c-481e-870e-2a83db8ea358,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"Wyethia spp., Artemisia tridentata, Foxtail spp., Erioganum umballatum, Sugarbowl (gentian)"
ELTR7,114,f7f83573-90cc-4269-8c29-5d7b51603a4b,ELTR7,,,2,500,Grazed_Domestic,,,10,0,5,50,35,Healthy,,3,12,3600,yes,yes,Very small amount of E trachycaulus found in relation to size of polygon,95f13af2-5e9b-4283-a9e7-6fd1be7733f6,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"Wyethia spp, Nassella viridula, Erioganum umballatum, Artemisia tridentata, Elymus elymoides"
NAVI4,115,5a812dec-a7fe-49f9-ba68-8ae50682ad7c,NAVI4,,,1,2000,Grazed_Domestic,,,10,0,15,35,40,Healthy,,9,14,50400,yes,yes,,48caf42e-086c-47e0-8b77-d98568b1e43f,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,"Festuca spp (idahoensis or saximontana), Wyethia spp., Artemisia tridentata, Eriogonum umballatum, Ericameria spp, Elymus elymoides"
ELTR7,116,f399c9d8-2118-40e2-afd6-3bf320e0862d,ELTR7,,,1,1000,No_Damage,,,10,0,45,40,5,Healthy,,4,6,4800,yes,yes,,9ca143d1-1b62-4a7e-b961-6ab93ed75edd,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
FEID,117,12cb55e0-b838-413e-9803-35ca9a39a93e,FEID,,,4,100000,No_Damage,,,5,0,25,45,25,Healthy,,4,42,3360000,yes,yes,,0260c6bc-f43c-495b-9371-68d293f89151,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,
ELTR7,118,9a0b042b-3e99-4c3a-b630-9ba37c4aeb7b,ELTR7,,,2,1500,No_Damage,,,10,0,5,40,45,Healthy,,4,17,13600,yes,yes,,168b0ae3-4e01-4f59-bcf7-4c671bb64da2,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
NAVI4,119,ecd0916f-69a3-483f-9cb7-fa819f48fcbe,NAVI4,,,1,200,Grazed_Domestic,,,5,0,20,45,30,Healthy,,,,,yes,no,,ec51c35c-56fd-4b34-bf87-272d5beedbfd,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
HEVI4,120,24c2a645-9a02-4b29-9f97-70a4364d4e84,HEVI4,,,0.25,100,No_Damage,,,10,30,50,5,5,Immature,,,,,no,no,Intrrmixed elymus spp. and DECE on way to point,23116502-b765-4e83-b0cd-d91e3e2ed4ee,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
PASM,121,9ffd3a12-7d7d-430c-a1d6-5cbfcbaa4de8,PASM,,,1,400,No_Damage,,,10,0,25,60,5,Healthy,,,,,yes,no,,6fb1d2fe-dd0f-4cbe-8de8-dcaf71dccee2,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
None,122,1640190a-df20-4548-a8db-1be951c8748b,None,,"SEInet point for FEID, ELTR7, and ELGL. Very heavily grazed and unable to identify any species",2,0,"Grazed_Domestic,Other","Human disturbance, camping and logging",,0,0,0,0,0,Malformed/Other,,,,,no,no,,6e0e89b1-5623-45b2-99b4-cc4460e2510e,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
NAVI4,123,e821cf20-5ed0-47cd-a4e2-c1974bc7f396,NAVI4,,,2,2000,No_Damage,,,5,0,15,50,30,Healthy,,7,15,3920,yes,yes,,71693d33-aa9a-451a-a613-860ad394bc5b,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
NAVI4,124,2259435c-fa21-494f-a708-8fc748298499,NAVI4,,,3,2000,No_Damage,,,5,0,20,40,35,Healthy,,12,9,43200,yes,yes,,d1422420-3ceb-4b49-92c2-7186b64088f3,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
ELTR7,125,b662028e-e3d3-41a7-8cb0-289701eaf1a4,ELTR7,,,3,500,No_Damage,,,5,0,15,60,20,Healthy,,4,15,6000,yes,yes,,0dce24b2-2a46-4aed-b0d5-d85620fe97a6,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
NAVI4,126,4d2c13c2-d549-4490-a451-2dc969e5ef09,NAVI4,,,5,1000,Grazed_Domestic,,,5,0,20,60,15,Healthy,,10,8,16000,yes,yes,,1dc3b29e-95c0-482f-a7ec-6ac305e3696c,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
DECE,127,7c4b0f50-6bd9-4ef5-8aec-0ff09628179a,DECE,,,3,1500,Grazed_Domestic,,,5,0,35,55,5,Healthy,,15,15,22500,yes,yes,,9983173b-8dc3-4e1f-9509-75e78aba1db3,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
HEVI4,128,e2883fca-17f1-44b3-99e8-9c471161cfbb,HEVI4,,,1,500,Insect_damage,,,10,30,20,20,20,Healthy,,25,50,125000,yes,yes,,3dc1cbec-5075-4e00-bd65-32fa006020ca,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
ELTR7,130,b82ab516-1943-4b62-b2c9-cb9f7a444162,ELTR7,,,5,20000,Grazed_Domestic,,,10,0,45,35,10,Healthy,,4,10,160000,yes,yes,,1e729237-c155-4ff9-be77-7aae4f00ce1e,8/29/2023 20:52,ac15_CSUesri,8/29/2023 20:52,ac15_CSUesri,
NAVI4,131,284205fc-43e6-47db-89bf-6d18fc642a8b,NAVI4,,,1,10000,Grazed_Wildlife,,"May have been seeded? Human disturbance at parking spot, appears as a landing or parking area for heavy equipment",10,0,25,40,25,Healthy,,9,14,252000,yes,no,,3733f1a7-f917-4f40-8e78-555d73c1ea3e,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,"P tremuloides, A concolor, Elymus glaucus, Osmerizha spp (sweet sicily)"
ELGL,132,3c0f8d30-000a-4fd5-9a06-a0d199be9c33,ELGL,,,1,4000,Grazed_Wildlife,,See notes for NASVIR at same location,10,0,15,45,30,Healthy,,2,12,19200,yes,no,,3733f1a7-f917-4f40-8e78-555d73c1ea3e,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,"POPTRE, NASVIR, Osmerrizha spp, BROINE"
NAVI4,133,0f82ebc1-5438-4f75-a4f2-ee5c12e00f73,NAVI4,,,2,2000,Grazed_Domestic,,,5,0,15,30,50,Healthy,,,,,yes,no,,9df698ad-cf15-47d9-aaff-73ce42a29c76,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,"PopTre, Rubber rabbitbrush, timothy hay, soladago"
FEID,134,90c91548-69f8-4d23-9b44-756430f58c30,FEID,,,10,100000,Grazed_Domestic,,,5,0,15,60,20,Healthy,,,,,yes,no,,46fd6569-da81-429a-bb07-a7225d38a08c,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,"Dasiphora fruiticosa, scarlet gilia, nassella viridula, populus tremuloides"
NAVI4,135,37199384-a282-4360-8695-072b860f4715,NAVI4,,,5,25000,Grazed_Domestic,,,5,0,15,50,30,Healthy,,,,,yes,no,,46fd6569-da81-429a-bb07-a7225d38a08c,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,
FEID,136,1141f272-085c-4b1e-8187-cd47212a08dd,FEID,,,1,1000,"Grazed_Domestic,Trampled",,"Some potential pathogen found on small number of species, maybe smut",10,0,0,45,45,Healthy,,5,20,20000,yes,yes,,54c6fb8f-841f-4760-9bd2-29743b073b8d,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,"Elymus glaucus, Elymus trachycaulus, Nassella viridula, Bromus inermus"
ELTR7,137,bc826541-eaa7-4cd0-9542-6b761408e00e,ELTR7,,,1,500,"Grazed_Domestic,Trampled",,"Some pathogen seen on very few Elymus glaucus and Festuca idahoensis, maybe smut",15,0,20,50,15,Healthy,,3,9,2700,yes,yes,Nasella viridula and Elymus glaucus found in enough numbers to collect but not collected because not on target list this time in season,c33a7994-0d33-48e9-804b-9bbaa458f2a5,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,"Elymus glaucus, Festuca idahoensis, Nassella viridula, Bromus inermus
"
ELTR7,138,be3c4b38-a043-4d1f-bdc8-baf2f482d0f1,ELTR7,,,1,600,Grazed_Domestic,,,10,0,5,55,30,Healthy,,3,9,3240,yes,no,PSZ not part of collection focus at this point in season,2998156b-efb4-466f-af0c-ffd09e755f27,9/8/2023 21:21,ac15_CSUesri,9/8/2023 21:21,ac15_CSUesri,"KOEMAC, Gentian spp, Erigeron spp, ACHMIL"
NAVI4,139,1cf6b5ce-3154-42ef-9e06-972d5532f06a,NAVI4,,,3,50000,Grazed_Domestic,,,5,0,15,20,60,Empty,,,,,no,no,,5226fcd1-9d7b-4b70-8f01-e9e258246d89,9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,"Rubber rabbitbrush, artemisia tridentada, gumweed, scarlet paintbrush, chokecherry"
ELTR7,140,6ba2c477-c2a9-4f27-8293-8b8b049562ce,ELTR7,,,1,10000,Grazed_Domestic,,,5,0,0,15,80,Empty,,,,,no,no,,5226fcd1-9d7b-4b70-8f01-e9e258246d89,9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,
KOMA,141,1e883098-b590-4967-a3f6-86dc45664afd,KOMA,,,3,10000,Grazed_Domestic,,,5,0,0,20,75,Empty,,,,,no,no,Some PASM & possible FEID ,5226fcd1-9d7b-4b70-8f01-e9e258246d89,9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,
FEID,142,a84d832a-b17c-4009-a5e7-3dda63f4eda2,FEID,,,10,100000,"Grazed_Wildlife,Grazed_Domestic,Other",Suspected fungal (black finger of death) ,,5,0,15,60,20,Healthy,,5,20,2000000,yes,yes,,9c1eeba2-bd7b-430a-891b-2466aad27d8e,9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,
NAVI4,143,1a226b0f-54dc-4b0b-9694-d5590cec9685,NAVI4,,,10,50000,"Grazed_Wildlife,Grazed_Domestic",,,5,0,20,60,15,Healthy,,,,,yes,no,,9c1eeba2-bd7b-430a-891b-2466aad27d8e,9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,
ELTR7,144,80e63df5-e283-4197-99a7-39ec3b412ca6,ELTR7,,,10,25000,"Grazed_Wildlife,Grazed_Domestic",,,5,0,5,50,40,Healthy,,3,10,150000,yes,yes,,7aab5f79-fd30-4451-8248-fbf3985a795a,9/8/2023 21:22,ac15_CSUesri,9/8/2023 21:22,ac15_CSUesri,
BOGR2,145,1f724d5e-80d9-46cb-b49b-e76b64e9258c,BOGR2,,,3,100000,Grazed_Domestic,,,15,10,70,5,0,Healthy,,,,,no,no,,b2d6c29e-abf2-4c94-aadd-4c5ca0baf026,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Artemisia frigida, pinus ponderosa."
HEVI4,146,120648b6-2acd-4f57-ac31-ac74b4c22c32,HEVI4,,,5,30000,No_Damage,,,5,30,25,25,5,Healthy,,,,,yes,no,"Some KOMA, PSSP6, and possible good collection of ANGE, needs ID",8303cc50-6220-4fcb-96a0-3bf95b324b56,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
BOGR2,147,3c66eec2-9311-469b-a87e-7a816e365a49,BOGR2,,,5,10000,Other,"Small amount of smut, less than any other site so far this year.",,5,5,80,10,0,Immature,,,,,no,no,,8303cc50-6220-4fcb-96a0-3bf95b324b56,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
FEID,148,285b3d20-7ee5-4211-8a4b-0cd74574f58d,FEID,,,5,50000,Other,Smut,,5,0,15,50,30,Moldy,,,,,yes,no,,766696f1-1242-46fb-b8b5-9a29f12e3f02,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Wooly mullein, quaking aspen, smooth brome, hesperostipa comata, mountain mahogany, curlydock. "
HEVI4,149,b167af30-b304-4869-8980-33ca044d1837,HEVI4,,,2,2000,No_Damage,,,10,20,20,30,20,Healthy,,,,,yes,no,,766696f1-1242-46fb-b8b5-9a29f12e3f02,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
BOGR2,150,b31a7393-7b77-4a63-ab66-009494e52a4f,BOGR2,,,1,2000,Other,Smut,,5,0,10,65,20,Moldy,,,,,yes,no,,766696f1-1242-46fb-b8b5-9a29f12e3f02,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
ELTR7,151,c290fe6a-6a09-484b-8128-ecfc8dca8131,ELTR7,,,2,500,Other,Smut,,5,0,20,70,5,Moldy,,,,,yes,no,,766696f1-1242-46fb-b8b5-9a29f12e3f02,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
NAVI4,152,7f9f4877-01ff-47c4-9c3a-a2ff4fda8990,NAVI4,,,1,50,No_Damage,,,5,0,10,70,15,Healthy,,,,,no,no,Intermixed with AchRob,766696f1-1242-46fb-b8b5-9a29f12e3f02,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
HEVI4,153,d13fe574-7453-4f08-95f5-4aeb0255afee,HEVI4,,,3,100000,No_Damage,,,5,20,15,40,20,Healthy,,,,,yes,no,"Intermixed KOMA & BOGR2, could be enough for multicollection",f3fbaacf-da58-4e06-a4c1-719751785ac4,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"KOMA, BROEIN, mountain mahogany, ponderosa pine, knapweed, BOGR2"
KOMA,154,06581d24-8479-4742-810e-21e35ddc3879,KOMA,,,2,2000,Other,Smut,,5,0,10,60,25,Moldy,,,,,yes,no,,f3fbaacf-da58-4e06-a4c1-719751785ac4,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
BOGR2,155,065960a9-8312-4365-b43b-cdc30607cbd2,BOGR2,,,5,5000,Other,Smut,,5,0,30,55,10,Moldy,,,,,yes,no,,f3fbaacf-da58-4e06-a4c1-719751785ac4,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
FEID,156,611ecff1-33a2-458b-9d2d-d7e53cc5610a,FEID,,,5,50000,Other,Smut,,5,0,15,60,20,Moldy,,,,,yes,no,,e0397407-098f-483a-993a-3d89a25e2a54,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Ponderosa pine, mountain mahogany, wax currant, kinickinick, fringed sage"
HEVI4,157,bae8dfe5-9654-4004-b40e-cfa839b95c84,HEVI4,,,5,5000,No_Damage,,,10,60,20,10,0,Immature,,,,,no,no,,e0397407-098f-483a-993a-3d89a25e2a54,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
BOGR2,158,b6e6c46b-0cbb-4dd0-b3d3-261ce761d28c,BOGR2,,,5,2500,Other,Smut,,5,0,0,15,80,Empty,,,,,no,no,,e0397407-098f-483a-993a-3d89a25e2a54,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,
ELTR7,159,4bbf3330-c317-48d2-8746-795dfa2c54d9,ELTR7,,,2,20000,Other,Smut,,5,0,20,70,5,Moldy,,,,,yes,no,,142d2499-ddc8-48d6-ab1d-e79050bf4be0,9/14/2023 21:13,ac15_CSUesri,9/14/2023 21:13,ac15_CSUesri,"Ponderosa pine, fringed sage, festuca idahoensis, heterotheca villosa, mountain muhley"
