ObjectID,GlobalID,Primary Key,Seed Collection Ref. Number,USFS Collection ID,Date Collection Started,Date Collection Ended,DateYMD,Recollection,Original Seed Reference Number,Collected Species,Other Species,Comments,Species Collection Number,Collection Technique,Seeds Collected From,Reason for Collecting from Ground,Number of Plants Sampled,Number of Plants Found,Average Plant Height,Field Notes to Assist in Identification of Pressed Specimen,Ecoregion,Ranger District,Org_Code,Provisional Seed Zone,Geology,Has There Been a Change in the Site's Disturbance/Damage Since Your Pre-Collection Form?,New Modifying Factors,If Other Factor Please Specify,Land Form,If Other Land Form Please Specify,Slope,Aspect,Number of Pressed Specimens,Date Voucher Taken,Herbaria names,How Confident are you in This Species' Identification?,Identified By,Material Identified,Date Identified,To be completed before you walk away from the site,Soil Texture,If Other Soil Type Please Specify,National Vegetation Classification,How Confident are you in this Vegetation's Classification?,Notes on NVC,Seed Collection Raw Weight,CreationDate,Creator,EditDate,Editor,x,y
33,dec10728-c9b5-4970-a7a6-8402625871e5,20240710_42.06168526-105.37408735,USFSR2.1-015,POSE_SR1015SH_020609_20240710-01,7/10/2024 16:15,7/10/2024 18:00,20240710,no,,POSE,,,01,Every_5,Plants,,1060,1500,0.75,,SR,20609,20609,1015SH,Gneiss,no,,,Foothills,,5,SW,2,7/10/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Gravely loam,"CEGL002794  Pinus ponderosa/ Artemisia tridentata spp. vaseyana Woodland 
",6,"Tree cover is 10% cover of Pinus ponderosa. Noted species of: Koeleria macrantha, Purshia tridentata and Bouteloua gracilis. Soils are derived from granite.",25,07/15/2024 20:22:04.791,ac15_CSUesri,10/21/2024 22:41:08.643,cnhp_guest4,-105.3738172,42.06288904
34,66bbe1c7-3d2d-48fb-af21-b466941caf2d,20240710_42.22420743-105.34997072,USFSR2.1-016,POSE_SR1015SH_020609_20240710-02,7/10/2024 20:33,7/10/2024 21:30,20240710,no,,POSE,,,02,Every_5,Plants,,710,2000,1,,SR,20609,20609,1015SH,Gneiss,no,,,Hillslope,,3,S,2,7/10/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Very stony sandy loam,CEGL000865 Pinus ponerosa/Pseudoroegneria spicata Woodland,4,"Tree cover Pinus ponderosa, mentions higher percentage but less was observed due to recent fire. Mentions exposed rock is common. Includes Pseudorogeneria spicata and Koeleria macrantha.",27,07/15/2024 20:22:09.764,ac15_CSUesri,10/21/2024 22:41:09.638,cnhp_guest4,-105.3506779,42.22428597
35,b0bc1a34-9990-4694-8809-cf7a66fb616b,20240710_42.22420743-105.34997072,USFSR2.1-017,ACNE9_SR1015SH_020609_20240710-01,7/10/2024 20:50,7/10/2024 21:30,20240710,no,,ACNE9,,,01,Every_5,Plants,,800,2000,2,,SR,20609,20609,1015SH,Gneiss,no,,,Hillslope,,3,S,2,7/10/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Very stony sandy loam,CEGL000865 Pinus ponerosa/Pseudoroegneria spicata Woodland,4,"Tree cover Pinus ponderosa, mentions higher percentage but less was observed due to recent fire. Mentions exposed rock is common. Includes Pseudorogeneria spicata and Koeleria macrantha.",45,07/15/2024 20:22:15.186,ac15_CSUesri,10/21/2024 22:41:10.432,cnhp_guest4,-105.3507448,42.22438024
36,1e198a35-9a6b-4018-90f8-7dd83178d9b8,20240709_42.25832949-105.48156052,USFSR2.1-018,ACNE9_SR1015SH_020609_20240711-01,7/11/2024 13:27,7/11/2024 15:00,20240711,no,,ACNE9,,,01,Every_5,Plants,,578,2100,3,Plant id undetermined,SR,20609,20609,1015SH,Quartz-monzonite,no,,,Foothills,,7,SE,2,7/11/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"herbarium_vouchers,landscape_photo,Individual_photo,Material_photo,Bags,filled_out",Other,Very stoney sandy loam,CEGL005647 Pinus ponderosa var. scopulorum/ Purshia tridentata Southern Rocky Mountain Woodland,7,Dominant tree cover is Pinus ponderosa with a sub-dominant of Juniperus scopulorum. Shrub layer includes Purshia tridentata. Soils originate from granatic parent material.,20,07/15/2024 20:22:20.504,ac15_CSUesri,10/21/2024 22:41:11.195,cnhp_guest4,-105.4818064,42.25826032
37,68f7ce32-f7d7-4866-8b06-cf32ac3b392d,20240713_41.20371838-105.3897227,USFSR2.1-023,Other_SR1015SH_020605_20240714-01,7/14/2024 14:00,7/14/2024 18:00,20240714,no,,Other,Geum triflorum,,01,Every_5,Plants,,56,300,1.5,,SR,20605,20605,1015SH,Granite,no,,,Depression,,2,E,2,7/14/2024 18:00,Local,9,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Material_photo,Individual_photo,herbarium_vouchers,Bags,filled_out",Other,Gravely sandy loam,CEGL003748- Populus tremuloides / Invasive Perennial Grasses Forest,7,Grazing regime matches description and present vegetative cover.,15,07/15/2024 20:22:24.743,ac15_CSUesri,10/21/2024 22:41:11.848,cnhp_guest4,-105.3883323,41.2032572
38,d3856fa3-d6e6-4b27-8617-943b8feb37a2,20240712_37.12668142-101.96680662,USFSR2.2-013,RACO3_HP1520SA_021207_20240712-01,7/12/2024 17:36,7/12/2024 19:40,20240712,no,,RACO3,,,01,Every_5,Plants,,476,1172,0.5,Yellow flowers,HP,21207,21207,1520SA,Silt,no,,,Flat,,0,Flat,2,7/12/2024 18:00,Local,9,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Silty_Clay_Loam,,CEGL001756 Blue grama - Buffalograss Shortgrass Prairie Association,8,,480,07/16/2024 15:15:15.192,cnhp_guest4,10/22/2024 15:13:22.802,cnhp_guest4,-101.9668069,37.12670157
39,874bf077-e97b-4b84-9283-675cbbdf2b00,20240724_37.65355403-107.802104444,USFSR2.2-014,HEVI4_SR0510HU_021308_20240724-01,7/24/2024 22:10,7/24/2024 23:10,20240724,no,,HEVI4,,,01,Every_5,Plants,,150,1000,0.5,,SR,21308,21308,0510HU,Dolostone,no,,,Basin,,15,SE,2,7/24/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Gravel,CEGL005264 Bromus inermis - (Pascopyrum smithii) Ruderal Grassland,8,"Native plant cover was higher than the description, but mostly Heterotheca villosa.",20,07/30/2024 15:21:40.939,cnhp_guest4,10/22/2024 15:13:23.795,cnhp_guest4,-107.8020864,37.65357292
40,7d8fbc34-57ac-428b-b0d8-3bfebebb726e,20240726_37.53488854-106.51117375,USFSR2.2-015,FEID_SR0005HU_020904_20240726-01,7/26/2024 14:59,7/7/2024 18:00,20240726,no,,FEID,,,01,Every_5,Plants,,1080,5000,2.3,"Incorrect field identification, Festuca arizonica",SR,20904,20904,0005HU,Andesite,no,,,Hillslope,,5,SE,2,7/26/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Gravelly loam,CEGL001897 Fesuca idahoensis Grassland,6,"There is no information on this classification as of 7/30/2024, but the other classifications were not good matches. This association mentioned potentilla, which was present.",945,07/30/2024 15:21:44.015,cnhp_guest4,11/07/2024 23:29:56.045,cnhp_guest4,-106.5112502,37.53478011
41,b3cd897f-8df4-47d4-baae-43ae2b3ab107,20240727_37.17137578-106.96940434,USFSR2.2-016,HEVI4_SR1015SH_021306_20240727-01,7/27/2024 15:00,7/27/2024 18:00,20240727,no,,HEVI4,,,01,Every_5,Plants,,3625,21750,1,"Yellow fl9wer, prerennial",SR,21306,21306,1015SH,Sandstone,no,,,Plateau,,3,SE,2,7/27/2024 18:00,Local,8,PamSmith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Loam,,CEGL000870 Pinus ponderosa / Quercus gambelii Woodland,7,"Understory layer does not necessarily match, there were few graminoids at site, but dominance is best fit.",70,07/30/2024 15:21:46.233,cnhp_guest4,10/22/2024 15:13:25.304,cnhp_guest4,-106.9690479,37.17103893
42,53bacee6-61a4-4a7b-9bc1-83b772d5d5cf,20240728_37.12982796-106.95156241,USFSR2.2-017,HEVI4_SR0510SH_021306_20240728-01,7/28/2024 14:00,7/28/2024 18:00,20240728,no,,HEVI4,,,01,Every_5,Plants,,144,7200,0.5,"Yellow flower, perennial",SR,21306,21306,0510SH,Sandstone,no,,,Hillslope,,8,S,2,7/28/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Material_photo,filled_out,Bags,Individual_photo,herbarium_vouchers",Silt_Loam,,CEGL000870 Pinus Ponderosa / Quercus gambelii woodland,5,This association is best current match based on dominant species. Another possible match seems to no longer be recognized which was defined by a Quercus gambelii and Symphoricarpos rotundiflolious alliance.,10,07/30/2024 15:21:48.388,cnhp_guest4,10/22/2024 15:13:26.070,cnhp_guest4,-106.9522059,37.12967692
43,7ef615a7-b5c8-45bf-9572-69afa53e8cab,20240728_40.68063713-105.3495075,USFSR2.1-030,MOFI_SR1520SH_021005_20240728-01,7/28/2024 20:30,7/28/2024 18:00,20240728,no,,MOFI,,,01,20_percent,Plants,,634,1300,1.5,,SR,21005,21005,1520SH,Migmatite,no,,,Hillslope,,8,NW,2,7/28/2024 18:00,Local,9,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"Material_photo,Individual_photo,landscape_photo,herbarium_vouchers,Bags,filled_out",Other,Stony sandy loam,CEGL00851: Pinus ponderosa / Cercocarpus montanus,8,"Within elevation range, common in area, most dominant species are present.",231.33,07/30/2024 20:17:31.408,ac15_CSUesri,10/23/2024 19:50:49.747,cnhp_guest4,-105.3494757,40.68066808
44,e59f8762-1fde-488f-ade1-5b542a7173c4,20240729_40.70081636-105.31499739,USFSR2.1-033,PSSP6_SR1520SH_021005_20240729-01,7/29/2024 16:41,7/29/2024 18:00,20240729,no,,PSSP6,,,01,Every_5,Plants,,83,350,1,,SR,21005,21005,1520SH,Migmatite,no,,,Hillslope,,10,W,2,7/29/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,Bags,herbarium_vouchers,filled_out",Sandy_Loam,,"CEGL00851: Pinus ponderosa / Cercocarpus montanus
",8,,16,07/30/2024 20:17:35.472,ac15_CSUesri,10/23/2024 20:15:32.295,cnhp_guest4,-105.3138138,40.70144399
45,fee1f390-08e3-4abd-8e7f-a94494b1c135,20240729_40.70081636-105.31499739,USFSR2.1-032,PEVI3_SR1520SH_021005_20240729-01,7/29/2024 15:00,7/29/2024 18:00,20240729,no,,PEVI3,,,01,Every_5,Plants,,195,1000,1,,SR,21005,21005,1520SH,Migmatite,no,,,Hillslope,,20,W,2,7/29/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,"CEGL00851: Pinus ponderosa / Cercocarpus montanus
",8,,200,07/30/2024 20:17:52.573,ac15_CSUesri,10/23/2024 20:03:17.584,cnhp_guest4,-105.3150354,40.70076103
46,30639dfc-c383-4185-bbfa-b4165e6a5702,20240727_40.8020328-104.46112174,USFSR2.1-028,Other_HP1015SA_021006_20240727-01,7/27/2024 18:00,7/27/2024 19:00,20240727,no,,Other,Sporobolus airoides,,01,20_percent,Plants,,139,700,2.5,"Hairs at summit of leaf sheath, leaf blade glabrous",HP,21006,21006,1015SA,Shale,no,,,Floodplain,,0,Flat,3,7/27/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,10/27/2023 18:00,"landscape_photo,Individual_photo,Material_photo,Bags,herbarium_vouchers,filled_out",Loam,,Alliance A3492: Panicum virgatum - Pascopyrum smithii Wet Prairie Alliance,6,I went with this alliance because of the presence of Sporobolus airoides. The site is a drainage in the central Great Plains with the presence of Pascopyrum smithii and Poa pratensis as dominants.,10,07/30/2024 20:18:07.788,ac15_CSUesri,10/23/2024 18:27:37.285,cnhp_guest4,-104.4611183,40.80202102
47,e1e700b1-d024-4820-b679-c2e7379cfd16,20240724_40.81356157-104.41690442,USFSR2.1-026,RACO3_HP1015SA_021006_20240727-01,7/27/2024 14:30,7/27/2024 18:00,20240727,no,,RACO3,,,01,Every_5,Plants,,874,4500,1.5,,HP,21006,21006,1015SA,Shale,no,,,Flat,,1,Flat,2,7/27/2024 18:00,Local,9,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,CEGL001578 - Pascopyrum smithii - Bouteloua gracilis Grassland,8,Very common in great plains. Gutierrezia sarothrae is a common associate.,476.3,07/30/2024 20:18:33.883,ac15_CSUesri,10/22/2024 20:21:25.133,cnhp_guest4,-104.4169044,40.81356161
48,2af75c9b-a876-4467-bf7a-7edfbce4e421,20240728_40.68063713-105.3495075,USFSR2.1-031,ERUM_SR1520SH_021005_20240728-01,7/28/2024 22:00,7/28/2024 22:35,20240728,no,,ERUM,,,01,20_percent,Plants,,77,250,0.75,"Fuzz on inflorescence, in cyme-like bunches, only 1 whorl of leaves",SR,21005,21005,1520SH,Migmatite,no,,,Hillslope,,8,NW,2,7/28/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,CEGL00851: Pinus ponderosa / Cercocarpus montanus,8,"Within elevation range, common in area, most dominant species are present.",15,07/30/2024 20:18:51.998,ac15_CSUesri,10/23/2024 19:56:10.354,cnhp_guest4,-105.3495025,40.68062573
49,55e78848-9e42-4770-b381-7b3266fb017d,20240725_40.68604992-104.36255597,USFSR2.1-024,RACO3_HP1015SA_021006_20240726-01,7/26/2024 14:30,7/25/2024 18:00,20240726,no,,RACO3,,,01,Every_5,Plants,,436,1750,1.5,,HP,21006,21006,1015SA,Shale,no,,,Depression,,3,E,2,7/25/2024 18:00,Local,9,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Clay_Loam,,CEGL002176 ,8,Might be CEGL001756 but I chose CEGL002176 because of the presence of Artemisia filifolia as a dominant and the presence of Grindelia sp.,226.8,07/30/2024 20:31:49.765,ac15_CSUesri,10/22/2024 18:12:10.002,cnhp_guest4,-104.362558,40.68604441
50,f0c6ac1e-89d1-4eb3-b5aa-aaa21135f14a,20240727_40.8020328-104.46112174,USFSR2.1-027,RACO3_HP1015SA_021006_20240727-02,7/27/2024 18:00,7/27/2024 19:00,20240727,no,,RACO3,,,02,Every_5,Plants,,77,400,1.5,,HP,21006,21006,1015SA,Shale,no,,,Floodplain,,0,Flat,2,7/27/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Loam,,CEGL005265 - Poa pratensis - Pascopyrum smithii Ruderal Grassland,6,"This NVC is unranked, but it is a stream terrace with Poa pratensis as the dominant graminoid. ",49.9,07/30/2024 20:31:52.773,ac15_CSUesri,10/22/2024 19:29:06.577,cnhp_guest4,-104.4610996,40.80202729
51,a9dc02a3-4354-43ab-9a67-7b23dda1a240,"


20240729_40.7018889-105.31542833",USFSR2.1-034,HEVI4_SR1520SH_021005_20240729-01,7/29/2024 19:50,7/29/2024 21:00,20240729,no,,HEVI4,,,01,20_percent,Plants,,60,200,0.5,,SR,21005,21005,1520SH,Migmatite,no,,,Hillslope,,12,SE,2,7/29/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,CEGL00851 - Pinus ponderosa / Cercocarpus montanus Woodland,8,,5,07/30/2024 20:31:55.354,ac15_CSUesri,10/23/2024 20:20:14.599,cnhp_guest4,-105.3150847,40.70166458
52,3e52a126-0910-4cdd-8529-14481566d723,20240528_40.69597251-105.5254534,USFSR2.1-029,NAVI4_SR1520SH_021005_20240728-01,7/28/2024 16:21,7/29/2024 5:45,20240728,no,,NAVI4,,,01,Every_5,Plants,,63,315,2,"Lemma tightly overlapping palea, plants too short to be Eriocoma robustum.",SR,21005,21005,1520SH,Alkali-feldspar-granite,no,,,Valleys,,5,SE,2,7/28/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,Alliance A3797: Pinus ponderosa - Mixed Conifer Riparian Forest Alliance,7,"I chose this alliance because it's a montane floodplain terrace. It includes species such as Pinus ponderosa, Juniperus scopulorum, Ribes spp., and Equisetum arvense. Soils are sandy loams.",6,07/30/2024 20:32:15.847,ac15_CSUesri,10/23/2024 18:58:59.618,cnhp_guest4,-105.5260217,40.69570332
53,38242b67-4fd0-4c0d-866c-f9a8c8b92855,"


20240729_40.7018889-105.31542833",USFSR2.1-035,Other_SR1520SH_021005_20240729-01,7/29/2024 19:50,7/29/2024 21:00,20240729,no,,Other,Helianthus pumilus,,01,20_percent,Plants,,118,200,3,,SR,21005,21005,1520SH,Migmatite,no,,,Hillslope,,25,SE,2,7/29/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,CEGL00851 - Pinus ponderosa / Cercocarpus montanus Woodland,8,,110,07/30/2024 20:32:28.576,ac15_CSUesri,10/23/2024 20:21:38.525,cnhp_guest4,-105.3152173,40.70178617
54,48f1173c-8e64-42b1-9ab8-6943681fd3b4,20240726_40.80723307-104.01194706,USFSR2.1-025,KOMA_HP1015SA_021006_20240726-01,7/26/2024 19:05,7/26/2024 18:00,20240726,no,,KOMA,,,01,Every_5,Plants,,139,500,1,,HP,21006,21006,1015SA,Sandstone,no,,,Hillslope,,9,W,2,7/26/2024 18:00,Local,9,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,CEGL001756 - Bouteloua gracilis - Bouteloua dactyloides,7,"Chosen due to B. gracilis being dominant, the community being apparently secure.",38,07/30/2024 20:32:41.241,ac15_CSUesri,10/22/2024 19:09:01.252,cnhp_guest4,-104.0118595,40.80723258
55,3701c28a-a63a-44c6-9522-16f629119a95,20240715_44.84695921416311-107.33422405756636,CLMBR2.1-001,MOFI_MR1015SH_020206_20240722-01,7/22/2024 19:29,7/22/2024 20:15,20240722,no,,MOFI,,,01,20_percent,Plants,,120,120,1.5,,MR,20206,20206,1015SH,Dolostone,no,,,Canyon,,30,S,2,7/15/2024 18:00,Local,9,,,,"filled_out,landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags",,,,,,,08/06/2024 14:37:19.584,cnhp_guest7,08/06/2024 14:37:19.584,cnhp_guest7,-107.3348509,44.84664654
56,00243e87-5ac5-4df7-a3af-5525554a8f0e,20240723_44.09114940463879-107.29672567127203,CLMBR2.1-002,KOMA_MR1520SH_020201_20240723-01,7/23/2024 16:32,7/23/2024 18:00,20240723,no,,KOMA,,,01,Every_5,Plants,,840,4200,1,,MR,20201,20201,1520SH,Limestone,no,,,Canyon,,10,S,2,7/16/2024 18:00,Local,9,,,,"filled_out,herbarium_vouchers,Material_photo,Individual_photo,landscape_photo,Bags",,,,,,1.6,08/06/2024 14:37:27.773,cnhp_guest7,08/06/2024 14:37:27.773,cnhp_guest7,-107.296699,44.09116785
57,61bc7672-cfe8-4cdc-9dbc-ed99fbca9229,20240723_44.09116910614076-107.29672383248072,CLMBR2.1-003,HEVI4_MR1520SH_020201_20240723-01,7/23/2024 16:53,7/23/2024 18:00,20240723,no,,HEVI4,,,01,20_percent,Plants,,600,600,0.25,,MR,20201,20201,1520SH,Limestone,no,,,Canyon,,10,S,2,7/16/2024 18:00,Local,9,,,,"herbarium_vouchers,landscape_photo,Individual_photo,Material_photo,Bags,filled_out",,,,,,1.1,08/06/2024 14:37:33.485,cnhp_guest7,08/06/2024 14:37:33.485,cnhp_guest7,-107.2966934,44.09117992
58,36d34aac-2c31-46ed-878e-fde9034259bf,20240724_44.57905373142166-107.6749409230748,CLMBR2.1-004,KOMA_MR1520SH_020203_20240724-01,7/24/2024 16:15,7/24/2024 17:00,20240724,no,,KOMA,,,01,Every_5,Plants,,180,900,1.5,,MR,20203,20203,1520SH,Unconsolidated,no,,,Canyon,,10,W,2,7/24/2024 18:00,Local,,,,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",,,,,,0.1,08/06/2024 14:37:39.516,cnhp_guest7,08/06/2024 14:37:39.516,cnhp_guest7,-107.6749197,44.57905044
59,8c94c11c-c40b-429e-b1bc-c45f4fb75086,20240731_44.553267812351464-106.94667431649697,CLMBR2.1-005,ACNE9_MR1015SH_020206_20240731-01,7/31/2024 16:33,7/31/2024 18:00,20240731,no,,ACNE9,,,01,Every_5,Plants,,150,750,1.5,,MR,20206,20206,1015SH,Diorite,no,,,Canyon,,10,E,2,7/31/2024 18:00,Local,6,,,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Clay_Loam,,,,,0.2,08/06/2024 14:37:44.060,cnhp_guest7,08/06/2024 14:37:44.060,cnhp_guest7,-106.9465438,44.5531931
60,63ce21f7-1388-4f42-9ec3-ef07f725b679,20240805_44.58290925912674-107.58543206387057,CLMBR2.1-006,PSSP6_MR1015SH_020203_20240805-01,8/5/2024 21:04,8/5/2024 22:00,20240805,no,,PSSP6,,,01,Every_5,Plants,,300,1800,1.5,,MR,20203,20203,1015SH,Unconsolidated,no,,,Canyon,,25,W,2,7/24/2024 18:00,Local,,,,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",,,,,,2.1,08/06/2024 14:37:47.446,cnhp_guest7,08/06/2024 14:37:47.446,cnhp_guest7,-107.5854091,44.58290223
61,794c38a5-a804-41bf-836f-94705e3839b8,20240805_44.58290925912674-107.58543206387057,CLMBR2.1-007,ACNE9_MR1520SH_020203_20240806-01,8/6/2024 20:11,8/6/2024 21:20,20240806,no,,ACNE9,,,01,20_percent,Plants,,246,246,1.5,,MR,20203,20203,1520SH,Unconsolidated,no,,,Canyon,,20,SW,2,7/24/2024 18:00,Local,6,,,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",,,,,,0.0025,08/08/2024 22:58:27.408,cnhp_guest7,10/24/2024 14:06:52.555,cnhp_guest7,-107.5840622,44.58381053
62,13fe37d9-dd2f-4581-a777-fcf2c3df19fb,20240730_39.38137595338056-105.10419450269136,CONPS2.1-001,PEVI3_SR1520SH_021211_20240807-02,8/7/2024 14:30,8/7/2024 15:50,20240807,no,,PEVI3,,,02,Every_5,Plants,,126,800,0.8,,SR,21211,21211,1520SH,Granite,no,,,Hillslope,,8,S,2,8/7/2024 18:00,Local,6,,,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Sandy_Loam,,CEGL000452 Pseudotsuga menziesii/Quercus gambelii forest,7,"Scattered large P. ponderosa, granitic soils, correct elevation",50,08/09/2024 15:47:28.532,cnhp_guest7,11/04/2024 15:55:45.969,cnhp_guest7,-105.1021105,39.37982258
63,ae24466e-43c6-46c0-a5f2-a066ddcf0dd9,20240806_39.38028908-105.10121718,USFSR2.2-018,PEVI3_SR1520SH_021211_20240806-01,8/6/2024 21:01,8/6/2024 18:00,20240806,no,,PEVI3,,,01,Every_5,Plants,,203,1015,0.75,,SR,21211,21211,1520SH,Granite,no,,,Hillslope,,9,SW,3,8/6/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,Bags,herbarium_vouchers",Other,Gravelly course sandy loam,CEGL000870 - Pinus ponderosa / Quercus gambelii,8,,50,08/12/2024 22:01:24.995,cnhp_guest4,10/22/2024 18:15:29.424,cnhp_guest4,-105.1012421,39.38031404
64,a98eab6d-5baf-4022-bc1b-eaeeb4cf1fa5,20240806_39.38028908-105.10121718,USFSR2.2-020,Other_SR1520SH_021211_20240807-01,8/7/2024 14:19,8/7/2024 18:00,20240807,no,,Other,Thermopsis divaricarpa,,01,Every_5,Plants,,59,590,1,,SR,21211,21211,1520SH,Granite,no,,,Hillslope,,8,S,2,8/7/2024 18:00,Local,7,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Material_photo,Individual_photo,herbarium_vouchers,Bags,filled_out",Other,Fine sandy loam,CEGL000870- Pinus ponderosa/ Quercus gambelii Woodland,8,,20,08/12/2024 22:01:29.492,cnhp_guest4,10/22/2024 18:15:45.428,cnhp_guest4,-105.1021445,39.37985374
65,b92b5f20-e228-4386-9945-2defbd243a90,20240807_39.40084748-105.16702051,USFSR2.2-021,ERUM_SR1015SH_021211_20240807-01,8/7/2024 18:15,8/7/2024 20:00,20240807,no,,ERUM,,,01,Every_5,Plants,,567,2840,0.75,Flower yellow,SR,21211,21211,1015SH,Granite,no,,,Drainage,,10,W,2,8/7/2024 18:00,Local,8,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Very gravelly course sandy loam,CEGL005372 - Pinus ponderosa / Quercus gambelii / Carex inops ssp. Heliophila Woodland,8,More forb cover than CEGL000870,115,08/12/2024 22:01:31.783,cnhp_guest4,10/22/2024 18:31:24.765,cnhp_guest4,-105.1677777,39.40040218
66,c87938c8-6413-460b-9596-d26a69032902,20240807_39.40084748-105.16702051,USFSR2.2-022,HEVI4_SR1015SH_021211_20240807-01,8/7/2024 18:15,8/7/2024 20:30,20240807,no,,HEVI4,,,01,Every_5,Plants,,245,2450,0.5,Yellow flower,SR,21211,21211,1015SH,Granite,no,,,Drainage,,10,W,2,8/7/2024 18:00,Local,9,Pam Smith,From Pressed Specimen on Another Date,9/27/2024 18:00,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",Other,Very gravelly course sandy loam,CEGL005372 - Pinus ponderosa / Quercus gambelii / Carex inops ssp. Heliophila Woodland,8,More forb cover than CEGL00870,15,08/12/2024 22:01:34.449,cnhp_guest4,12/04/2024 17:09:17.191,cnhp_guest4,-105.1677901,39.40039128
