ObjectID,GlobalID,Date,Latitude,Longitude,Elevation,Unit,Ranger District,Org_Code,Forest Name,Area Within District,Land owner,Location Details,Ecoregion,Provisional Seed Zone,Geology,Seed Collection Ref. Number,USFS Collection ID,Date Collection Started,Date Collection Ended,DateYMD,Recollection,Original Seed Reference Number,Collection Technique,Seeds Collected From,Reason for Collecting from Ground,Number of Plants Sampled,Number of Plants Found,Average Plant Height,Field Notes to Assist in Identification of Pressed Specimen,Coordinate Source,Accuracy,Accuracy of GPS Unit,GPS Datum,National Vegetation Classification,Modifying Factors,If Other Factor Please Specify,Slope,Aspect,Soil Texture,Number of Pressed Specimens,Date Voucher Taken,Herbaria names,How Confident are you in This Species' Identification?,Identified By,Material Identified,Date Identified,ID Comments,To be completed before you walk away from the site,CreationDate,Creator,EditDate,Editor,Associated Species,Notes on Associated Species,x,y
37,b3694cf3-4f99-487e-9c0c-464bd463403d,8/1/2023 15:52,44.35453649,-106.9821112,8117,feet,20201,20201,Bighorn National Forest,CR 399 about 4/5 mi past hunter campground,USFS,"From hwy 16 north to Buffalo, go north CR 19 to hunter campground, then turn north on CR 396 for 3/4 mile. Stopped about 400 ft before fork ",MR,1015SH,Sand,,Other_MR1015SH_020201_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9821112,44.35453649
38,4bf98724-e732-49a1-b87e-dd5c47b4c150,8/1/2023 17:06,44.31901021,-106.8702961,6900,feet,20201,20201,Bighorn National Forest,Grouse mtn trailhead,USFS,"From hwy 16 headed west from Buffalo, turn south on grouse mtn trailhead CR 402, stop at trailhead.",MR,1015SH,Volcanic,,FEID_MR1015SH_020201_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.8702961,44.31901021
39,3350fe04-2f6f-4a24-8d9f-43fe071a465d,8/1/2023 19:41,44.2893268,-106.9953621,8005,feet,20201,20201,Bighorn National Forest, 1.3 mi in on CR 20,USFS,"From hwy 16 going west from Buffalo, turn west onto CR 20 and head for 1.3 mi. Collection site across creek on south side of road",MR,1015SH,Metagraywacke,,FEID_MR1015SH_020201_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9953621,44.2893268
40,5dd769ca-e4f7-4b23-b16c-c40e6e823d3b,8/1/2023 20:15,44.28213016,-106.9901643,8087,feet,20201,20201,Bighorn National Forest,CR 20,USFS,"Hwy 16 West from Buffalo, west on CR 20 to the end at Circle Park Campground, DECE population across road and campsites to the S/SW",MR,1015SH,Metagraywacke,,DECE_MR1015SH_020201_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9901643,44.28213016
41,129b531a-8e69-4d6d-a86a-95de71d6abcd,8/1/2023 20:34,44.28645163,-106.9246871,7500,feet,20201,20201,Bighorn National Forest,CR 21 / Tie hack recreation area ,USFS,"From hwy 16 heading west from Buffalo, turn east onto CR 21 and take until reservior parking ",MR,1015SH,Metagraywacke,USFSR2-16,FEID_MR1015SH_020201_20230802,8/2/2023 8:16,8/2/2023 11:21,20230802,no,,Every_5,Plants,,600,2000,1.5,"Red stems, long awns, clumpy at base",GPS,GPS,Within 5m,WGS84,CSG031,Insect_damage,,8,NE,Sandy_Clay_Loam,2,8/2/2023 18:00,Local,7,"Smith, J. ",From Pressed Specimen on Another Date,8/7/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9246871,44.28645163
42,6178de24-2d93-4ee0-9384-9fb4ac513674,8/2/2023 17:39,44.28770997,-106.9231902,7490,feet,20201,20201,Bighorn National Forest,"End of CR 21, SW facing slope",USFS,"From hwy 16 going west from Buffalo, turn east onto CR 21 and take till its end at the Tie hack reservior",MR,1015SH,Metagraywacke,,FEID_MR1015SH_020201_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9231902,44.28770997
43,3f8b96d6-e8dd-4e9b-b79b-e728690b0ea3,8/2/2023 21:16,44.2516817,-106.9192016,7964,feet,20201,20201,Bighorn National Forest,"CR 22, about 1.5 mi in",USFS,"From hwy 16 going west from Buffalo, turn east onto CR 22 and take for about 1.5 mi. Site on north side of road
Not in between aspen grove

",MR,1015SH,Metagraywacke,,DECE_MR1015SH_020201_,,,,,,,,,,,,,,,,,,Grazed_Wildlife,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9192016,44.2516817
44,756d1063-ad7c-43b1-954d-941ef90fbbd9,8/2/2023 21:21,44.24573734,-106.9160043,7973,feet,20201,20201,Bighorn National Forest,"CR 22, about 1.75 mi in",USFS,From hwy 16 going west from Buffalo turn east onto CR 22 and take from about 1.75 mi. ,MR,1015SH,Metagraywacke,,NAVI4_MR1015SH_020201_,,,,,,,,,,,,,,,,,,Insect_damage,,,,,,,,,,,,,,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,,,-106.9160043,44.24573734
45,717f67ed-2fbd-4a88-ae47-d20e3995a06b,8/8/2023 13:34,44.26254826,-109.4740482,6528,feet,21404,21404,Shoshone National Forest,FR 483,USFS,From south fork road going west from Cody turn south / southeast onto FR 483 (across from Shoshone NF sign) and take about 0.5 mi. Stpped at Corral Creek Pit sign.,WB,1015SH,Sand,USFSR2-19,PSSP6_WB1015SH_021404_20230808,8/8/2023 18:00,8/8/2023 13:43,20230808,no,,Every_5,Plants,,2150,100000,2,Two strongly divergent awns,GPS,GPS,Within 5m,WGS84,CEGL001675,Smut_Fungal,,19,NE,Sandy_Loam,3,8/8/2023 18:00,Local,9,"Smith, J. ",From Photograph,8/14/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/11/2023 14:38,ac15_CSUesri,8/11/2023 14:38,ac15_CSUesri,,,-109.4740482,44.26254826
46,9823c1d5-399e-4b55-b6a1-10eca03ed778,8/8/2023 16:42,44.30477063,-109.2423628,8638,feet,21404,21404,Shoshone National Forest,CR 474 Carter Mountain,USFS,"Hwy 291 SW from Cody WY, SSE on CR 474 approx 10 miles to large open meadow on SE side of road",MR,1015SH,Unconsolidated,,NAVI4_MR1015SH_021404_,,,,,,,,,,,,,,,,,,"Grazed_Domestic,Insect_damage",,,,,,,,,,,,,,8/11/2023 14:38,ac15_CSUesri,8/11/2023 14:38,ac15_CSUesri,,,-109.2423628,44.30477063
47,c7fb756c-e7fa-4a77-8705-cfd9ab37c213,8/8/2023 17:00,44.31572479,-109.2386076,8400,feet,21404,21404,Shoshone National Forest,CR 474 Carter Mountain,USFS,"Hwy 291 SW from Cody WY, then SSE on CR 474 approx 10.5 miles to Forest Service Rd 474.2, south facing slope across from FR",MR,1015SH,Unconsolidated,,ELTR7_MR1015SH_021404_,,,,,,,,,,,,,,,,,,"Insect_damage,Grazed_Domestic",,,,,,,,,,,,,,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,,,-109.2386076,44.31572479
48,b88ae324-d9dd-4478-83f0-47c86805ca83,8/8/2023 18:36,44.25350771,-109.5138993,6130,feet,21404,21404,Shoshone National Forest,Ishawooa Trailhead,USFS,"Hwy 291 SW from Cody WY, continue on CR 6WX approx 20miles to Ishwooa Trailhead",WB,1015SA,Silt,,PSSP6_WB1015SA_021404_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,,,-109.5138993,44.25350771
49,25264651-ada0-4f57-abee-8586fc530ff8,8/8/2023 19:00,44.15393983,-109.6019361,6325,feet,21404,21404,Shoshone National Forest,Boulder Basin Trailhead,USFS,"Hwy 291 SW from Cody WY, continue on CR 6WX approx 30miles, cross river just passed Ishawooa Mesa Trailhead onto CR XYD, drive approx 5 miles to Boulder Basin Trailhead",WB,1015SH,Gravel,,PASM_WB1015SH_021404_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,,,-109.6019361,44.15393983
50,49a4106e-7e78-4946-a8d9-ae4ed02e9d04,8/8/2023 19:15,44.20907953,-109.5553974,6230,feet,21404,21404,Shoshone National Forest,Ishawooa Mesa Trailheas,USFS,"Hwy 291 SW from Cody WY, continue on CR 6WX approx 23miles to Ishwooa Mesa Trailhead",WB,1015SA,Silt,,PSSP6_WB1015SA_021404_,,,,,,,,,,,,,,,,,,No_Damage,,,,,,,,,,,,,,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,,,-109.5553974,44.20907953
51,bc8fe7b2-09c5-4016-9fcd-8e785633011c,8/9/2023 13:42,44.25976751,-109.4683654,6835,feet,21404,21404,Shoshone National Forest,CR 483,USFS,"From Hwy 291 West from Cody, continue on CR 6WX just past Shoshone NF sign and border, 1st left after sign SSE on CR 683 approx 1mi just passed No Motorized Vehicles sign",WB,1015SH,Sand,USFSR2-20,PSSP6_WB1015SH_021404_20230809,8/9/2023 18:00,8/9/2023 22:30,20230809,no,,Every_5,Plants,,9000,100000,2,,GPS,GPS,Within 5m,WGS84,CEGL001675,Smut_Fungal,,9,NE,Sandy_Loam,3,8/9/2023 18:00,Local,9,"Smith, J. ",From Photograph,8/14/2023,,"landscape_photo,Material_photo,Individual_photo,Bags,herbarium_vouchers,filled_out",8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,,,-109.4683654,44.25976751
52,f50e47e2-c139-489b-8a6c-abd337b5e432,8/9/2023 22:32,44.25976118,-109.4683578,6770,feet,21404,21404,Shoshone National Forest,CR  683,USFS,"From Hwy 291 West from Cody, continue on CR 6WX just passed Shoshone NF sign and border, 1st left after sign SSE on CR 683 approx 1mi just past No Motorized Vehicles sign",WB,1015SH,Sand,,FEID_WB1015SH_021404_,,,,,,,,,,,,,,,,,,Insect_damage,,,,,,,,,,,,,,8/11/2023 14:41,ac15_CSUesri,8/11/2023 14:41,ac15_CSUesri,,,-109.4683578,44.25976118
53,359b3315-d44c-42ce-94bc-60552aea1ae2,8/13/2023 14:00,40.65961933,-104.0298343,4830,feet,21006,21006,Arapaho and Roosevelt National Forests,CR 109,USFS,"From hwy 14 west from Ault, sharp turn onto CR 390 going NW for approx. 1 mile. N on CR 109 for approx. 1/4 mile just past windmill approx. 200-300ft.",HP,1015SA,Sandstone,USFSR2-21,BOGR2_HP1015SA_021006_20230813,8/13/2023 8:40,8/14/2023 14:00,20230813,no,,Every_5,Plants,,15000,1000000,1.5,,GPS,GPS,Within 5m,WGS84,CEGL001756,Grazed_Domestic,,2,W,Sandy_Clay,2,8/13/2023 18:00,Local,9,,,,No collection sample,"landscape_photo,Individual_photo,herbarium_vouchers,Material_photo,Bags,filled_out",8/15/2023 19:13,ac15_CSUesri,8/15/2023 19:13,ac15_CSUesri,,,-104.0298343,40.65961933
54,f1756bd2-329b-421b-af60-1d97ffd0347b,8/16/2023 15:27,40.19560349,-105.4821367,8408,feet,21001,21001,Arapaho and Roosevelt National Forests,FR 330.1,USFS,"From hwy 7 going west from Lyons, turn north onto Taylor rd and take for approx. 1/2 mi until it turns into FR 330.1. Take for another 1/5 mi, and park on east side of road at campfire.",SR,1520SH,Alkali-feldspar-granite,USFSR2-22,KOMA_SR1520SH_021001_20230816,8/16/2023 9:27,8/16/2023 11:39,20230816,no,,Every_5,Plants,,600,2500,2,,GPS,GPS,Within 5m,WGS84,CEGL00186,No_Damage,,7,SE,Sandy_Loam,2,8/16/2023 18:00,Local,9,"Smith, J.",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,,,-105.4821367,40.19560349
55,d66ee9b0-a7cd-43b7-9e4e-12898297d9d9,8/16/2023 17:02,40.20080815,-105.4780108,8641,feet,21001,21001,Arapaho and Roosevelt National Forests,Cr 330.1,USFS,"From hwy 7 going west from Lyons, turn north onto Taylor rd and take for approx. 1/2 mi until it turns into FR 330.1. Take for another 1/2 mi, and prepare to park.",SR,1520SH,Alkali-feldspar-granite,,PASM_SR1520SH_021001_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,No_Damage,,,,,,,,,,,,,,8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,,,-105.4780108,40.20080815
56,ee556790-5d0a-4c41-892d-11279653c7f3,8/16/2023 19:31,39.92535108,-105.5284173,9220,feet,21001,21001,Arapaho and Roosevelt National Forests,FR 105.1,USFS,"From hwy 72 headed south from Nederland head west toward Rawlinsville on route 16, then turn northwest onto FR 105.1 and take for about 1 mi. Prepare to walk about .1 mi NE to site.",SR,1015SH,Gneiss,USFSR2-23,THRH_SR1015SH_021001_20230816,8/16/2023 13:31,8/16/2023 14:26,20230816,no,,Every_5,Plants,,200,1000,1,,GPS,GPS,Within 5m,WGS84,CEGL000545,Timber_Harvest,,15,SW,Sand,2,8/16/2023 18:00,Local,6,"Atkinson, K.",In Field,8/16/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,,,-105.5284173,39.92535108
57,045111e2-ee1a-4987-b09c-2be9d826a045,8/17/2023 17:50,40.78500366,-105.4672093,7913,feet,21005,21005,Arapaho and Roosevelt National Forests,Girl Scout Dining Hall East,USFS,"Going east on Girl Scout rd. towards James C Kennedy Mountain Campus from CR 74E, drive east approx. 3 miles to Girl Scout dining hall. Collection started on Horseshoe trail east of parking lot.",SR,1015SH,Alkali-feldspar-granite,USFSR2-25,KOMA_SR1015SH_021005_20230817,8/17/2023 11:54,8/17/2023 15:54,20230817,no,,Every_5,Plants,,140,1000,1.5,,GPS,GPS,Within 5m,WGS84,CEGL005647,Timber_Harvest,,3,SW,Sandy_Loam,2,8/17/2023 18:00,Local,10,"Smith, J.",In Field,8/17/2023 18:00,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,,,-105.4672093,40.78500366
58,1a571c62-c0b3-40ee-9fac-5aa95a4037fc,8/17/2023 15:32,40.78500572,-105.4672666,7906,feet,21005,21005,Arapaho and Roosevelt National Forests,Girl Scout Dining Hall East,USFS,"Going east on Girl Scout Rd toward James C Kennedy Mountain Campus from CR 74E, drive east approx 3miles to Girl Scout Dining Hall, hike/walk east from parking lot along grown-in 2-track road approx 0.5 miles to coordinates 13 N 460577 E 4515001",SR,1015SH,Alkali-feldspar-granite,USFSR2-24,PEVI3_SR1015SH_021005_20230817,8/17/2023 9:56,8/17/2023 11:29,20230817,no,,Every_5,Plants,,425,2500,0.5,,GPS,GPS,Within 5m,WGS84,CEGL005647,Timber_Harvest,,2,NW,Sandy_Loam,2,8/17/2023 18:00,Local,10,"Smith, J. ",In Field,8/17/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/17/2023 22:30,ac15_CSUesri,8/17/2023 22:30,ac15_CSUesri,,,-105.4672666,40.78500572
59,65bf0604-bab6-43ab-9649-01dfe4754d8a,8/17/2023 19:00,40.78393623,-105.4727992,7942,feet,21005,21005,Arapaho and Roosevelt National Forests,Girl Scout Dining Hall East,USFS,"Going east on Girl Scout Rd toward James C Kennedy Mountain Campus from CR 74E, drive east approx 3miles to Girl Scout Dining Hall, hike/walk east from parking lot along grown-in 2-track road approx 0.5 miles to coordinates 13 N 460577 E 4515001",SR,1015SH,Alkali-feldspar-granite,USFSR2-26,PSSP6_SR1015SH_021005_20230817,8/17/2023 13:00,8/17/2023 15:46,20230817,no,,Every_5,Plants,,575,3000,3,,GPS,GPS,Within 5m,WGS84,CEGL005647,Smut_Fungal,"Smut on some plants, possibly black finger of death fungus",5,SW,Sandy_Loam,2,8/17/2023 18:00,Local,10,"Smith, J.",In Field,8/17/2023 18:00,,"landscape_photo,Individual_photo,herbarium_vouchers,Material_photo,Bags,filled_out",8/17/2023 22:31,ac15_CSUesri,8/17/2023 22:31,ac15_CSUesri,,,-105.4727992,40.78393623
60,8b6c5082-0f6f-4045-981a-fadc42b0dc88,8/23/2023 19:05,38.83216861,-106.4156242,11649,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",Hwy 306,USFS,"Hwy 306 west from Buena Vista, approx 1mile west of top of Cottonwood Pass, SW side of road in wet meadow ",SR,0005VH,Gneiss,,None_SR0005VH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Seeded,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.4156242,38.83216861
61,e8ef4fb0-b194-4b8f-afef-4ed76e432d0d,8/23/2023 19:47,38.84485526,-106.4430768,10721,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",Hwy 306,USFS,"Hwy 306 west from Buena Vista, approx 5miles west of top of Cottonwood Pass, East side of road/switchback in wet meadow ",SR,0005HU,Unconsolidated,,None_SR0005HU_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.4430768,38.84485526
62,8b8583db-3f8d-4b46-98e3-4253e124a204,8/23/2023 20:06,38.84688273,-106.4809867,10253,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",Hwy 306: Stage Stop Meadows,USFS,"Hwy 306 west from Buena Vista, approx 7miles west of top of Cottonwood Pass, South side of road in dry sagebrush habitat passed disturbed area with re-seed Picea spp seedlings",SR,0005HU,Unconsolidated,,FEID_SR0005HU_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.4809867,38.84688273
63,ae062b1d-031d-42f3-acee-07f3d9516866,8/23/2023 22:19,38.68284795,-106.846547,8333,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",Forest Rd 810,USFS,"From Almont, North on Hwy 135 approx 0.5mile, North on Almont Triangle/FR 810 appprox 0.25mi",SR,LT00SH,Gneiss,,None_SRLT00SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,"Grazed_Wildlife,Grazed_Domestic",,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.846547,38.68284795
64,647dfcd3-aea3-4db0-8b56-6d2290794305,8/24/2023 17:07,38.16480114,-106.8599833,9396,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",Forest Rd 788,USFS,"From Gunnison, Hwy 50 east, Hwy 114 south, CR NN14 southwest, Forest Service Rd 788 approx 2miles to open sagebrush meadow on both sides of road with mixed conifer/aspen approx 100yards NW of road",SR,LT00SH,Volcanic,,FEID_SRLT00SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.8599833,38.16480114
65,3d630eec-0eef-4a7f-acf9-7cc22ac60130,8/24/2023 17:50,38.15326218,-106.8703666,9494,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 788,USFS,"From Gunnison, Hwy 50 east, Hwy 114 south, CR NN14 southwest, Forest Service Rd 788 approx 3miles to stream/wetland area both sides of road. ",SR,LT00SH,Volcanic,,DECE_SRLT00SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.8703666,38.15326218
66,78767910-c1a7-432a-a680-d7ffd404ad7f,8/24/2023 18:14,38.10891655,-106.9429818,6952,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 788,USFS,"From Gunnison, Hwy 50 east, Hwy 114 south, CR NN14 southwest, Forest Service Rd 788 approx 5miles on sotheast side of road on boundaries of aspen grove.",SR,0510SH,Volcanic,,Other_SR0510SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.9429818,38.10891655
67,fe9b819f-bf96-4ba7-9775-008a2897822e,8/24/2023 18:26,38.10448803,-106.95659,10151,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR790,USFS,"From Gunnison, Hwy 50 east, Hwy 114 south, CR NN14 southwest, Forest Service Rd 788 approx 7miles at intersection of FR 790.",SR,0510SH,Volcanic,,FEID_SR0510SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.95659,38.10448803
68,e6552f76-9118-488f-b1b7-789818b0420a,8/24/2023 18:46,38.10156916,-106.9769732,10369,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 788,USFS,"From Gunnison, Hwy 50 east, Hwy 114 south, CR NN14 southwest, Forest Service Rd 788 approx 8miles at meadow right before FS boundary",SR,0510SH,Volcanic,,None_SR0510SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,No_Damage,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.9769732,38.10156916
69,f19acdd0-1f2d-4ef8-934c-66f6726489d1,8/24/2023 20:49,38.34917705,-106.8178345,9241,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 789,USFS,"From hwy 50 going east from Gunnison, turn south onto CR 114, then turn west on FR 789 and traveled for approx. 3 mi stopped before private land parcel.",SR,0510SH,Granite,,None_SR0510SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.8178345,38.34917705
70,4c77aa0b-3c66-4dac-bce8-b7cca0641cd2,8/24/2023 21:14,38.34691394,-106.809489,9315,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",Forest Service Rd 7775,USFS,"From hwy 50 going east from Gunnison, turn south onto CR 114, then turn west on FR 789 and travel approx. 2.5 mi, turn south FR 7775 approx 0.25mi, walk east toward Aspen and mixed conifer on NW facing slope",SR,0510SH,Granite,,PASM_SR0510SH_020407_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.809489,38.34691394
71,47392974-c4b3-4378-a98f-ce4d8ffef58d,8/25/2023 15:22,38.50946383,-107.4688494,9505,feet,20408,20408,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 719,USFS,"From Gunnison going west on hwy 50, turn northwest onto hwy 92, then north onto FR 719 (corral gulch). Take for approx. 4 mi and stop right before FR 716 intersection. Potential collection on west side of road.",SR,0510VH,Volcanic,,NAVI4_SR0510VH_020408_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,Grazed_Domestic,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-107.4688494,38.50946383
72,46c32fcb-c714-4bdc-94c1-ac8d33382766,8/25/2023 15:34,38.51977099,-107.469443,9669,feet,20408,20408,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 717,USFS,"From Gunnison going west on hwy 50, turn northwest onto hwy 92, then north onto FR 719 (corral gulch). Take for approx. 4 mi then turn west on FR 716, then north onto FR 717 shortly after. Take for approx. 0.5 mi and stop at poles on either side of road, individuals on west side of road.",SR,0510VH,Volcanic,,HEVI4_SR0510VH_020408_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,No_Damage,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-107.469443,38.51977099
73,650a6432-aa15-4926-b186-15e5d5ff4aa8,8/25/2023 16:35,38.55702031,-107.4076943,10144,feet,20408,20408,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 717,USFS,"From Gunnison going west on hwy 50, turn northwest onto hwy 92, then north onto FR 719 (corral gulch). Take for approx. 4 mi then turn west on FR 716, then north onto FR 717 shortly after. Take for approx. 5mi and forested area by dispersed camping site.",SR,0510VH,Volcanic,,ELTR7_SR0510VH_020408_,,,,,,,,,,,,,GPS,GPS,Within 5m,WGS84,,No_Damage,,,,,,,,,,,,,,8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-107.4076943,38.55702031
74,8f6585ce-5ec7-456b-855e-cdf799c155f1,8/26/2023 17:16,38.6080382,-106.7652511,9841,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 604,USFS,"From Hwy 135 north of Gunnison, go east on Lost Canyon Rd approx 8 miles, turn east/right at FR 604 for approx 0.25miles passed cattle guard at top of hill where road begins to curve south (approx 500ft passed cattle guard)",SR,0510SH,Sandstone,USFSR2-29,KOMA_SR0510SH_020407_20230826,8/26/2023 11:22,8/26/2023 15:52,20230826,no,,Every_5,Plants,,325,2000,0.75,,GPS,GPS,Within 5m,WGS84,CEGL00622,Grazed_Domestic,,5,NW,Sandy_Clay,2,8/26/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/6/2023,,"landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.7652511,38.6080382
75,c6740596-b99c-481e-870e-2a83db8ea358,8/26/2023 20:13,38.61342244,-106.770367,9754,feet,20407,20407,"Grand Mesa, Uncompahgre and Gunnison National Forests",FR 743.4B,USFS,"From Hwy 135 north of Gunnison, go east on Lost Canyon Rd approx 8 miles, turn north/left at FR 743.4B for approx 0.20miles, stop on hillslope before reaching top approx. 0.10 mile",SR,0510HU,Sandstone,USFSR2-30,ACLE9_SR0510HU_020407_20230826,8/26/2023 14:25,8/26/2023 16:15,20230826,no,,Every_5,Plants,,450,3000,2.5,,GPS,GPS,Within 5m,WGS84,CEGL002820,Grazed_Domestic,,7,E,Sandy_Clay,2,8/26/2023 18:00,Local,9,"Smith, J. ",From Pressed Specimen on Another Date,10/10/2023,"ID revised: translucent ligule, sheath with ciliate hairs (under scope), but no pilose hairs at top of sheath, lemma open - not tightly rolled shut (iphone), keyed with Wingate to Acnatherum nelsonii vs. lettermanii, awn straightened out is ~17 mm, blades .75 mm wide = Eriocoma lettermanii (palea is ~3/4 length of lemma)","landscape_photo,Individual_photo,Material_photo,herbarium_vouchers,Bags,filled_out",8/29/2023 20:50,ac15_CSUesri,8/29/2023 20:50,ac15_CSUesri,,,-106.770367,38.61342244
